tab	specimens
specimen	sample	analysts	citations	volume	weight
PF18-76a	PF18-76		This study	 1.200e-05	
PF18-77a	PF18-77		This study	 6.200e-06	
PF18-78a	PF18-78		This study	 1.430e-05	
PF18-79b	PF18-79		This study	 1.000e-05	
PF18-80a	PF18-80		This study	 1.460e-05	
PF18-81a	PF18-81		This study	 1.350e-05	
PF18-82a	PF18-82		This study	 1.380e-05	
PF18-83a	PF18-83		This study	 1.250e-05	
PF18-84a	PF18-84		This study	 1.230e-05	
PF18-85a	PF18-85		This study	 8.500e-06	
PF18-86a	PF18-86		This study	 1.170e-05	
PF18-87a	PF18-87		This study	 1.300e-05	
PF18-88a	PF18-88		This study	 1.140e-05	
PF18-89a	PF18-89		This study	 1.290e-05	
PF18-90a	PF18-90		This study	 1.390e-05	
PF18-91a	PF18-91		This study	 1.370e-05	
PF18-92a	PF18-92		This study	 1.230e-05	
PF18-93a	PF18-93		This study	 1.320e-05	
PF18-94a	PF18-94		This study	 1.280e-05	
PF18-95a	PF18-95		This study	 1.090e-05	
PF18-96a	PF18-96		This study	 1.020e-05	
PF18-97a	PF18-97		This study	 1.260e-05	
PF18-98a	PF18-98		This study	 1.310e-05	
PF18-99a	PF18-99		This study	 1.390e-05	
PF18-100a	PF18-100		This study	 1.350e-05	
PF18-101a	PF18-101		This study	 1.200e-05	
PF18-102a	PF18-102		This study	 1.200e-05	
PF18-103a	PF18-103		This study	 1.390e-05	
PF18-104a	PF18-104		This study	 1.330e-05	
PF18-105a	PF18-105		This study	 9.800e-06	
PF18-106a	PF18-106		This study	 1.410e-05	
PF18-107a	PF18-107		This study	 1.230e-05	
PF18-108a	PF18-108		This study	 1.060e-05	
PF18-109a	PF18-109		This study	 1.320e-05	
PF18-110a	PF18-110		This study	 1.250e-05	
PF18-111a	PF18-111		This study	 9.700e-06	
PF18-112a	PF18-112		This study	 1.360e-05	
PF18-113a	PF18-113		This study	 1.010e-05	
PF18-114a	PF18-114		This study	 1.280e-05	
PF18-115a	PF18-115		This study	 1.470e-05	
PF18-116a	PF18-116		This study	 1.330e-05	
PF18-117a	PF18-117		This study	 1.310e-05	
PF18-118a	PF18-118		This study	 1.300e-05	
PF18-119a	PF18-119		This study	 1.330e-05	
PF18-120a	PF18-120		This study	 1.310e-05	
PF18-121a	PF18-121		This study	 1.160e-05	
PF18-122a	PF18-122		This study	 1.400e-05	
PF18-123a	PF18-123		This study	 1.280e-05	
PF18-124a	PF18-124		This study	 1.260e-05	
PF18-125a	PF18-125		This study	 1.160e-05	
PF18-126a	PF18-126		This study	 1.210e-05	
PF18-127a	PF18-127		This study	 1.350e-05	
PF18-128a	PF18-128		This study	 1.300e-05	
PF18-129a	PF18-129		This study	 1.260e-05	
PF18-130a	PF18-130		This study	 1.330e-05	
PF18-131a	PF18-131		This study	 1.330e-05	
PF18-132a	PF18-132		This study	 1.340e-05	
PF18-133a	PF18-133		This study	 1.240e-05	
PF18-134a	PF18-134		This study	 1.150e-05	
PF18-135a	PF18-135		This study	 1.240e-05	
PF18-136a	PF18-136		This study	 1.410e-05	
PF18-137a	PF18-137		This study	 1.320e-05	
PF18-138a	PF18-138		This study	 1.340e-05	
PF18-139a	PF18-139		This study	 1.270e-05	
PF18-140a	PF18-140		This study	 1.280e-05	
PF18-141a	PF18-141		This study	 8.800e-06	
PF18-142a	PF18-142		This study	 1.110e-05	
PF18-143a	PF18-143		This study	 1.130e-05	
PF18-144a	PF18-144		This study	 1.380e-05	
PF18-145a	PF18-145		This study	 1.310e-05	
PF18-146a	PF18-146		This study	 1.030e-05	
PF18-147a	PF18-147		This study	 1.310e-05	
PF18-148a	PF18-148		This study	 6.600e-06	
PF18-149a	PF18-149		This study	 1.210e-05	
PF18-150a	PF18-150		This study	 1.230e-05	
PF18-151a	PF18-151		This study	 1.330e-05	
PF18-152a	PF18-152		This study	 1.180e-05	
PF18-153a	PF18-153		This study	 1.300e-05	
PF18-154a	PF18-154		This study	 1.370e-05	
PF18-155a	PF18-155		This study	 1.440e-05	
PF18-156a	PF18-156		This study	 1.370e-05	
PF18-157a	PF18-157		This study	 1.340e-05	
PF18-158a	PF18-158		This study	 1.290e-05	
PF18-159a	PF18-159		This study	 1.330e-05	
PF18-160a	PF18-160		This study	 1.010e-05	
PF18-161a	PF18-161		This study	 1.260e-05	
PF18-162a	PF18-162		This study	 9.900e-06	
PF18-163a	PF18-163		This study	 8.000e-06	
