tab	specimens
specimen	sample	analysts	citations	volume	weight
PF18-1a	PF18-1		This study	 5.800e-06	
PF18-2b	PF18-2		This study	 7.900e-06	
PF18-3a	PF18-3		This study	 5.800e-06	
PF18-4a	PF18-4		This study	 6.500e-06	
PF18-5a	PF18-5		This study	 1.170e-05	
PF18-6b	PF18-6		This study	 1.440e-05	
PF18-7a	PF18-7		This study	 1.440e-05	
PF18-8a	PF18-8		This study	 1.750e-05	
PF18-9a	PF18-9		This study	 1.230e-05	
PF18-10a	PF18-10		This study	 1.390e-05	
PF18-11a	PF18-11		This study	 7.900e-06	
PF18-12a	PF18-12		This study	 4.400e-06	
PF18-13a	PF18-13		This study	 1.130e-05	
PF18-14a	PF18-14		This study	 5.700e-06	
PF18-15a	PF18-15		This study	 8.700e-06	
PF18-16a	PF18-16		This study	 1.160e-05	
PF18-17a	PF18-17		This study	 9.300e-06	
PF18-18a	PF18-18		This study	 1.180e-05	
PF18-19b	PF18-19		This study	 7.400e-06	
PF18-20a	PF18-20		This study	 6.200e-06	
PF18-21a	PF18-21		This study	 7.900e-06	
PF18-22a	PF18-22		This study	 8.000e-06	
PF18-23a	PF18-23		This study	 1.060e-05	
PF18-24a	PF18-24		This study	 1.210e-05	
PF18-25a	PF18-25		This study	 1.170e-05	
PF18-26a	PF18-26		This study	 1.400e-05	
PF18-27a	PF18-27		This study	 9.800e-06	
PF18-28a	PF18-28		This study	 3.800e-06	
PF18-29a	PF18-29		This study	 4.900e-06	
PF18-30a	PF18-30		This study	 6.700e-06	
PF18-31a	PF18-31		This study	 1.060e-05	
PF18-32a	PF18-32		This study	 1.430e-05	
PF18-33a	PF18-33		This study	 5.400e-06	
PF18-34a	PF18-34		This study	 8.600e-06	
PF18-35a	PF18-35		This study	 9.300e-06	
PF18-36a	PF18-36		This study	 1.280e-05	
PF18-37a	PF18-37		This study	 8.600e-06	
PF18-38a	PF18-38		This study	 1.150e-05	
PF18-39a	PF18-39		This study	 7.300e-06	
PF18-40a	PF18-40		This study	 8.500e-06	
PF18-41a	PF18-41		This study	 6.700e-06	
PF18-42a	PF18-42		This study	 5.800e-06	
PF18-43a	PF18-43		This study	 1.350e-05	
PF18-44b	PF18-44		This study	 1.050e-05	
PF18-45a	PF18-45		This study	 1.260e-05	
PF18-46a	PF18-46		This study	 1.370e-05	
PF18-47a	PF18-47		This study	 1.010e-05	
PF18-48a	PF18-48		This study	 7.300e-06	
PF18-49a	PF18-49		This study	 7.000e-06	
PF18-50a	PF18-50		This study	 1.250e-05	
PF18-51b	PF18-51		This study	 1.210e-05	
PF18-52b	PF18-52		This study	 1.010e-05	
PF18-53a	PF18-53		This study	 8.100e-06	
PF18-54a	PF18-54		This study	 7.200e-06	
PF18-55a	PF18-55		This study	 1.410e-05	
PF18-56a	PF18-56		This study	 8.400e-06	
PF18-57a	PF18-57		This study	 9.200e-06	
PF18-58a	PF18-58		This study	 1.250e-05	
PF18-59b	PF18-59		This study	 1.070e-05	
PF18-60a	PF18-60		This study	 1.410e-05	
PF18-61a	PF18-61		This study	 1.140e-05	
PF18-62a	PF18-62		This study	 7.300e-06	
PF18-63a	PF18-63		This study	 1.340e-05	
PF18-64a	PF18-64		This study	 1.340e-05	
PF18-65b	PF18-65		This study	 1.080e-05	
PF18-66a	PF18-66		This study	 5.200e-06	
PF18-67a	PF18-67		This study	 1.020e-05	
PF18-68a	PF18-68		This study	 1.010e-05	
PF18-69a	PF18-69		This study	 1.190e-05	
PF18-70a	PF18-70		This study	 1.370e-05	
PF18-71d	PF18-71		This study	 6.200e-06	
PF18-72a	PF18-72		This study	 1.270e-05	
PF18-73b	PF18-73		This study	 9.700e-06	
PF18-74a	PF18-74		This study	 1.310e-05	
PF18-75a	PF18-75		This study	 5.200e-06	
