tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
PF18-68	PF18	93.78					36.3	0	81.4	311.5	-37	This study	SO-CMD-NORTH
PF18-69	PF18	93.24					16.1	0	81.4	311.5	-42	This study	SO-CMD-NORTH
PF18-70	PF18	92.56					18.3	0	81.4	311.5	-35	This study	SO-CMD-NORTH
PF18-71	PF18	92.07					47.5	0	81.4	311.5	-32	This study	SO-CMD-NORTH
PF18-72	PF18	114.9					227.6	0	81.9	308.9	-35	This study	SO-CMD-NORTH
PF18-73	PF18	115.52					236.0	0	81.9	308.9	-38	This study	SO-CMD-NORTH
PF18-74	PF18	115.87					229.6	0	81.9	308.9	-39	This study	SO-CMD-NORTH
PF18-75	PF18	116.05					231.7	0	81.9	308.9	-44	This study	SO-CMD-NORTH
PF18-76	PF18	116.51					213.1	0	81.9	308.9	-30	This study	SO-CMD-NORTH
PF18-77	PF18	116.97					222.1	0	81.9	308.9	-23	This study	SO-CMD-NORTH
PF18-78	PF18	117.33					216.3	0	81.9	308.9	-27	This study	SO-CMD-NORTH
PF18-79	PF18	117.95					-71.0	0	81.9	308.9	-43	This study	SO-CMD-NORTH
PF18-80	PF18	117.83					230.2	0	81.9	308.9	-28	This study	SO-CMD-NORTH
PF18-81	PF18	118.51					237.9	0	81.9	308.9	-40	This study	SO-CMD-NORTH
PF18-82	PF18	119.14					249.6	0	81.9	308.9	-27	This study	SO-CMD-NORTH
PF18-83	PF18	119.67					237.3	0	81.9	308.9	-22	This study	SO-CMD-NORTH
PF18-84	PF18	120.5					220.1	0	81.9	308.9	-45	This study	SO-CMD-NORTH
PF18-85	PF18	120.69					28.4	0	81.9	308.9	-18	This study	SO-CMD-NORTH
PF18-86	PF18	120.99					211.7	0	81.9	308.9	-11	This study	SO-CMD-NORTH
PF18-87	PF18	121.37					215.8	0	81.9	308.9	-33	This study	SO-CMD-NORTH
PF18-88	PF18	121.75					213.4	0	81.9	308.9	-32	This study	SO-CMD-NORTH
PF18-89	PF18	122.07					232.1	0	81.9	308.9	-17	This study	SO-CMD-NORTH
PF18-90	PF18	122.5					211.6	0	81.9	308.9	-28	This study	SO-CMD-NORTH
PF18-91	PF18	122.9					252.9	0	81.9	308.9	-27	This study	SO-CMD-NORTH
PF18-92	PF18	123.2					-5.4	0	81.9	308.9	-13	This study	SO-CMD-NORTH
PF18-93	PF18	123.76					224.3	0	81.9	308.9	-32	This study	SO-CMD-NORTH
PF18-94	PF18	124.23					230.1	0	81.9	308.9	-18	This study	SO-CMD-NORTH
PF18-95	PF18	124.72					211.6	0	81.9	308.9	-33	This study	SO-CMD-NORTH
PF18-96	PF18	125.11					-54.4	0	81.9	308.9	-1	This study	SO-CMD-NORTH
PF18-97	PF18	125.62					222.6	0	81.9	308.9	-32	This study	SO-CMD-NORTH
PF18-98	PF18	126.01					213.6	0	81.9	308.9	-44	This study	SO-CMD-NORTH
PF18-99	PF18	126.51					-92.4	0	81.9	308.9	-15	This study	SO-CMD-NORTH
PF18-100	PF18	126.94					261.7	0	81.9	308.9	-14	This study	SO-CMD-NORTH
PF18-101	PF18	127.3					-8.9	0	81.9	308.9	-16	This study	SO-CMD-NORTH
PF18-102	PF18	127.95					227.6	0	81.9	308.9	-33	This study	SO-CMD-NORTH
PF18-103	PF18	128.18					246.6	0	81.9	308.9	-23	This study	SO-CMD-NORTH
PF18-104	PF18	128.57					212.6	0	81.9	308.9	-28	This study	SO-CMD-NORTH
PF18-105	PF18	128.62					-85.4	0	81.9	308.9	-13	This study	SO-CMD-NORTH
PF18-106	PF18	129.39					253.6	0	81.9	308.9	-22	This study	SO-CMD-NORTH
PF18-107	PF18	129.47					222.6	0	81.9	308.9	-31	This study	SO-CMD-NORTH
PF18-108	PF18	129.89					218.6	0	81.9	308.9	-34	This study	SO-CMD-NORTH
PF18-109	PF18	129.94					222.6	0	81.9	308.9	-41	This study	SO-CMD-NORTH
