tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		lt	307.1	-5.2	4	4	100	34.9	2.4	523	373	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hct	308.3	86.8	4	7	-1	12.4	2.4	773	598	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hct	273.9	4.1	4	7	100	12.4	2.4	773	598	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hct	223.3	55.0	4	7	0	12.4	2.4	773	598	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		mt	306.0	79.1	4	3	-1	14.1	9.1	853	833	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		lt	154.9	58.4	4	4	-1	34.9	2.4	523	373	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		lt	301.3	76.6	4	4	0	34.9	2.4	523	373	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hdt	285.7	62.3	4	15	-1	0.0	8.5	953	863	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hdt	190.4	42.4	4	15	0	0.0	8.5	953	863	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-102a	PF18-102a_LP-DIR-T	PF18-102		hdt	262.5	26.4	4	15	100	0.0	8.5	953	863	K		hargrave 2021-05-30 16:08:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Northern Michigan	PF18
