tab	sites																													
site	location	samples	specimens	age	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	lat	lon	analysts	software_packages	citations	method_codes	result_quality	vgp_lat	vgp_lon	geologic_classes	geologic_types	lithology
PF18-1	Potato River Falls	PF18-1	PF18-1a	1075	1085.57	1050	Ma		hct	252.7	56.8		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	16.1	217.3	Sedimentary	Sediment Layer	Siltstone
PF18-1	Potato River Falls	PF18-1	PF18-1a	1075	1085.57	1050	Ma		hdt	224.4	55.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	2	235.2	Sedimentary	Sediment Layer	Siltstone
PF18-1	Potato River Falls	PF18-1	PF18-1a	1075	1085.57	1050	Ma		hct	283.2	-8.9		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	5.8	166.8	Sedimentary	Sediment Layer	Siltstone
PF18-1	Potato River Falls	PF18-1	PF18-1a	1075	1085.57	1050	Ma		hdt	277.3	5.5		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	7	176.1	Sedimentary	Sediment Layer	Siltstone
PF18-10	Potato River Falls	PF18-10	PF18-10a	1075	1085.57	1050	Ma		hdt	205.2	55.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-4.1	249.4	Sedimentary	Sediment Layer	Siltstone
PF18-10	Potato River Falls	PF18-10	PF18-10a	1075	1085.57	1050	Ma		lt	338.2	81		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	62.2	255.6	Sedimentary	Sediment Layer	Siltstone
PF18-10	Potato River Falls	PF18-10	PF18-10a	1075	1085.57	1050	Ma		mt	204.8	58.5		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-1.5	250.5	Sedimentary	Sediment Layer	Siltstone
PF18-10	Potato River Falls	PF18-10	PF18-10a	1075	1085.57	1050	Ma		hdt	277.4	16.2		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	11.1	179.9	Sedimentary	Sediment Layer	Siltstone
PF18-10	Potato River Falls	PF18-10	PF18-10a	1075	1085.57	1050	Ma		lt	315.5	0.6		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	29.7	143.2	Sedimentary	Sediment Layer	Siltstone
PF18-10	Potato River Falls	PF18-10	PF18-10a	1075	1085.57	1050	Ma		mt	280.1	16		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	12.9	177.8	Sedimentary	Sediment Layer	Siltstone
PF18-100	Potato River Falls	PF18-100	PF18-100a	1075	1085.57	1050	Ma		mt	271.1	7.1		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	3.3	181.1	Sedimentary	Sediment Layer	Siltstone
