tab	sites																													
site	location	samples	specimens	age	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	lat	lon	analysts	software_packages	citations	method_codes	result_quality	vgp_lat	vgp_lon	geologic_classes	geologic_types	lithology
PF18-100	Potato River Falls	PF18-100	PF18-100a	1075	1085.57	1050	Ma		mt	217.8	52.5		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-3.5	238.5	Sedimentary	Sediment Layer	Siltstone
PF18-101	Potato River Falls	PF18-101	PF18-101a	1075	1085.57	1050	Ma		mt	224	45.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-6.2	231.1	Sedimentary	Sediment Layer	Siltstone
PF18-101	Potato River Falls	PF18-101	PF18-101a	1075	1085.57	1050	Ma		mt	265	2.3		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-2.6	183.9	Sedimentary	Sediment Layer	Siltstone
PF18-102	Potato River Falls	PF18-102	PF18-102a	1075	1085.57	1050	Ma		hdt	189.7	43.6		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-17.5	260.3	Sedimentary	Sediment Layer	Siltstone
PF18-102	Potato River Falls	PF18-102	PF18-102a	1075	1085.57	1050	Ma		mt	203.1	53.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-6.5	250.5	Sedimentary	Sediment Layer	Siltstone
PF18-102	Potato River Falls	PF18-102	PF18-102a	1075	1085.57	1050	Ma		hdt	264	26.6		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	6.1	193.5	Sedimentary	Sediment Layer	Siltstone
PF18-102	Potato River Falls	PF18-102	PF18-102a	1075	1085.57	1050	Ma		mt	272.8	15.8		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	7.8	183	Sedimentary	Sediment Layer	Siltstone
PF18-103	Potato River Falls	PF18-103	PF18-103a	1075	1085.57	1050	Ma		mht	288.1	-15.7		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	6.4	160.8	Sedimentary	Sediment Layer	Siltstone
PF18-103	Potato River Falls	PF18-103	PF18-103a	1075	1085.57	1050	Ma		lt	0.9	75.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	73.1	270.9	Sedimentary	Sediment Layer	Siltstone
PF18-103	Potato River Falls	PF18-103	PF18-103a	1075	1085.57	1050	Ma		mht	268	58.5		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	26.1	209.9	Sedimentary	Sediment Layer	Siltstone
PF18-103	Potato River Falls	PF18-103	PF18-103a	1075	1085.57	1050	Ma		lt	319.9	-0.6		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	31.5	138.6	Sedimentary	Sediment Layer	Siltstone
PF18-104	Potato River Falls	PF18-104	PF18-104a	1075	1085.57	1050	Ma		lt	317.4	0.2		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	30.6	141.3	Sedimentary	Sediment Layer	Siltstone
PF18-104	Potato River Falls	PF18-104	PF18-104a	1075	1085.57	1050	Ma		hdt	261.8	13.9		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-0.5	190.3	Sedimentary	Sediment Layer	Siltstone
PF18-104	Potato River Falls	PF18-104	PF18-104a	1075	1085.57	1050	Ma		hdt	207.4	43.5		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-14	244.1	Sedimentary	Sediment Layer	Siltstone
PF18-104	Potato River Falls	PF18-104	PF18-104a	1075	1085.57	1050	Ma		lt	356.1	78.4		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	68.7	265.4	Sedimentary	Sediment Layer	Siltstone
PF18-105	Potato River Falls	PF18-105	PF18-105a	1075	1085.57	1050	Ma		hdt	212.1	45.6		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-11	240.6	Sedimentary	Sediment Layer	Siltstone
PF18-105	Potato River Falls	PF18-105	PF18-105a	1075	1085.57	1050	Ma		lt	355.1	74.1		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	75.8	259.5	Sedimentary	Sediment Layer	Siltstone
PF18-105	Potato River Falls	PF18-105	PF18-105a	1075	1085.57	1050	Ma		mht	263.6	56		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	21.7	210.2	Sedimentary	Sediment Layer	Siltstone
PF18-105	Potato River Falls	PF18-105	PF18-105a	1075	1085.57	1050	Ma		hdt	264	10.5		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-0.3	187.5	Sedimentary	Sediment Layer	Siltstone
PF18-105	Potato River Falls	PF18-105	PF18-105a	1075	1085.57	1050	Ma		lt	320.3	-3		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	30.7	137.4	Sedimentary	Sediment Layer	Siltstone
PF18-105	Potato River Falls	PF18-105	PF18-105a	1075	1085.57	1050	Ma		mht	284.5	-15.8		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	4	163.4	Sedimentary	Sediment Layer	Siltstone
PF18-106	Potato River Falls	PF18-106	PF18-106a	1075	1085.57	1050	Ma		mht	286.9	-19		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	4.3	160.5	Sedimentary	Sediment Layer	Siltstone
PF18-106	Potato River Falls	PF18-106	PF18-106a	1075	1085.57	1050	Ma		lt	358.3	68.8		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	84.2	259.2	Sedimentary	Sediment Layer	Siltstone
PF18-106	Potato River Falls	PF18-106	PF18-106a	1075	1085.57	1050	Ma		mht	270.4	55.3		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	25.4	205.7	Sedimentary	Sediment Layer	Siltstone
PF18-106	Potato River Falls	PF18-106	PF18-106a	1075	1085.57	1050	Ma		lt	324.9	-5.8		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	31.7	131.9	Sedimentary	Sediment Layer	Siltstone
PF18-107	Potato River Falls	PF18-107	PF18-107a	1075	1085.57	1050	Ma		lt	314.2	-4		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	27	143	Sedimentary	Sediment Layer	Siltstone
PF18-107	Potato River Falls	PF18-107	PF18-107a	1075	1085.57	1050	Ma		hdt	251.9	21.1		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-4.2	200.1	Sedimentary	Sediment Layer	Siltstone
PF18-107	Potato River Falls	PF18-107	PF18-107a	1075	1085.57	1050	Ma		hdt	198.9	33.7		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-22.9	250	Sedimentary	Sediment Layer	Siltstone
PF18-107	Potato River Falls	PF18-107	PF18-107a	1075	1085.57	1050	Ma		lt	332.5	76.8		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	66.3	240.2	Sedimentary	Sediment Layer	Siltstone
PF18-108	Potato River Falls	PF18-108	PF18-108a	1075	1085.57	1050	Ma		hdt	206.4	32.3		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-21.7	242.3	Sedimentary	Sediment Layer	Siltstone
PF18-108	Potato River Falls	PF18-108	PF18-108a	1075	1085.57	1050	Ma		mt	191.2	31.4		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-25.8	257.6	Sedimentary	Sediment Layer	Siltstone
PF18-108	Potato River Falls	PF18-108	PF18-108a	1075	1085.57	1050	Ma		hdt	250.2	14.9		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-7.8	199.2	Sedimentary	Sediment Layer	Siltstone
PF18-108	Potato River Falls	PF18-108	PF18-108a	1075	1085.57	1050	Ma		mt	250.2	27.8		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-2.3	203.9	Sedimentary	Sediment Layer	Siltstone
PF18-109	Potato River Falls	PF18-109	PF18-109a	1075	1085.57	1050	Ma		hdt	255.7	28		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	1.2	200	Sedimentary	Sediment Layer	Siltstone
PF18-109	Potato River Falls	PF18-109	PF18-109a	1075	1085.57	1050	Ma		hdt	190	36.1		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-22.9	259.3	Sedimentary	Sediment Layer	Siltstone
PF18-109	Potato River Falls	PF18-109	PF18-109a	1075	1085.57	1050	Ma		lt	351.1	72.1		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	78	245.6	Sedimentary	Sediment Layer	Siltstone
PF18-109	Potato River Falls	PF18-109	PF18-109a	1075	1085.57	1050	Ma		lt	320.9	-5.3		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	30	136.2	Sedimentary	Sediment Layer	Siltstone
PF18-11	Potato River Falls	PF18-11	PF18-11a	1075	1085.57	1050	Ma		mt	267	17.2		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	4.3	187.7	Sedimentary	Sediment Layer	Siltstone
PF18-11	Potato River Falls	PF18-11	PF18-11a	1075	1085.57	1050	Ma		lt	321.6	-2.9		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	31.4	136.2	Sedimentary	Sediment Layer	Siltstone
PF18-11	Potato River Falls	PF18-11	PF18-11a	1075	1085.57	1050	Ma		hdt	262.9	26.1		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	5.1	194.1	Sedimentary	Sediment Layer	Siltstone
PF18-11	Potato River Falls	PF18-11	PF18-11a	1075	1085.57	1050	Ma		mt	205.6	45.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-12.7	246.3	Sedimentary	Sediment Layer	Siltstone
PF18-11	Potato River Falls	PF18-11	PF18-11a	1075	1085.57	1050	Ma		lt	353.3	74.7		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	74.6	257.3	Sedimentary	Sediment Layer	Siltstone
PF18-11	Potato River Falls	PF18-11	PF18-11a	1075	1085.57	1050	Ma		hdt	194.3	40.7		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-19.1	255.6	Sedimentary	Sediment Layer	Siltstone
PF18-110	Potato River Falls	PF18-110	PF18-110a	1075	1085.57	1050	Ma		lt	11.1	79.5		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	66.2	279	Sedimentary	Sediment Layer	Siltstone
PF18-110	Potato River Falls	PF18-110	PF18-110a	1075	1085.57	1050	Ma		mht	256.2	57.1		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	18.3	215.5	Sedimentary	Sediment Layer	Siltstone
PF18-110	Potato River Falls	PF18-110	PF18-110a	1075	1085.57	1050	Ma		lt	318.2	3.1		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	32.2	141.4	Sedimentary	Sediment Layer	Siltstone
PF18-110	Potato River Falls	PF18-110	PF18-110a	1075	1085.57	1050	Ma		mht	282.7	-12		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	4.2	166.1	Sedimentary	Sediment Layer	Siltstone
PF18-111	Potato River Falls	PF18-111	PF18-111a	1075	1085.57	1050	Ma		hdt	198.1	36.3		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-21.4	251.2	Sedimentary	Sediment Layer	Siltstone
PF18-111	Potato River Falls	PF18-111	PF18-111a	1075	1085.57	1050	Ma		mt	217.5	50.5		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	-5.2	238	Sedimentary	Sediment Layer	Siltstone
PF18-111	Potato River Falls	PF18-111	PF18-111a	1075	1085.57	1050	Ma		hdt	254.8	21.5		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-2.1	198.1	Sedimentary	Sediment Layer	Siltstone
PF18-111	Potato River Falls	PF18-111	PF18-111a	1075	1085.57	1050	Ma		mt	269.1	7.1		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	2	182.6	Sedimentary	Sediment Layer	Siltstone
PF18-112	Potato River Falls	PF18-112	PF18-112a	1075	1085.57	1050	Ma		mht	287	-16		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	5.5	161.5	Sedimentary	Sediment Layer	Siltstone
PF18-112	Potato River Falls	PF18-112	PF18-112a	1075	1085.57	1050	Ma		lt	321.1	0.9		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	32.8	137.8	Sedimentary	Sediment Layer	Siltstone
PF18-112	Potato River Falls	PF18-112	PF18-112a	1075	1085.57	1050	Ma		lt	8.8	75.9		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	72.4	282.6	Sedimentary	Sediment Layer	Siltstone
PF18-112	Potato River Falls	PF18-112	PF18-112a	1075	1085.57	1050	Ma		mht	267	57.6		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	24.9	209.6	Sedimentary	Sediment Layer	Siltstone
PF18-113	Potato River Falls	PF18-113	PF18-113a	1075	1085.57	1050	Ma		hdt	201	40.6		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-17.8	249.2	Sedimentary	Sediment Layer	Siltstone
PF18-113	Potato River Falls	PF18-113	PF18-113a	1075	1085.57	1050	Ma		lt	344.5	76.7		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	69.9	250.1	Sedimentary	Sediment Layer	Siltstone
PF18-113	Potato River Falls	PF18-113	PF18-113a	1075	1085.57	1050	Ma		hdt	259.2	18.8		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-0.3	193.9	Sedimentary	Sediment Layer	Siltstone
PF18-113	Potato River Falls	PF18-113	PF18-113a	1075	1085.57	1050	Ma		lt	316.6	-2.8		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	28.9	141.1	Sedimentary	Sediment Layer	Siltstone
PF18-114	Potato River Falls	PF18-114	PF18-114a	1075	1085.57	1050	Ma		lt	322.4	-7.7		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	29.7	134	Sedimentary	Sediment Layer	Siltstone
PF18-114	Potato River Falls	PF18-114	PF18-114a	1075	1085.57	1050	Ma		hdt	199.1	39		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	-19.3	250.7	Sedimentary	Sediment Layer	Siltstone
PF18-114	Potato River Falls	PF18-114	PF18-114a	1075	1085.57	1050	Ma		lt	349.6	69.2		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	80.8	226.5	Sedimentary	Sediment Layer	Siltstone
PF18-114	Potato River Falls	PF18-114	PF18-114a	1075	1085.57	1050	Ma		hdt	257.6	20.5		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	-0.7	195.7	Sedimentary	Sediment Layer	Siltstone
PF18-115	Potato River Falls	PF18-115	PF18-115a	1075	1085.57	1050	Ma		mht	285.2	-15		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	4.7	163.2	Sedimentary	Sediment Layer	Siltstone
PF18-115	Potato River Falls	PF18-115	PF18-115a	1075	1085.57	1050	Ma		lt	321.5	-1.2		1	1	1	0		100	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	32.1	136.8	Sedimentary	Sediment Layer	Siltstone
PF18-115	Potato River Falls	PF18-115	PF18-115a	1075	1085.57	1050	Ma		lt	2.9	74.4		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	75.5	275.1	Sedimentary	Sediment Layer	Siltstone
PF18-115	Potato River Falls	PF18-115	PF18-115a	1075	1085.57	1050	Ma		mht	263.3	57		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	22.2	211.2	Sedimentary	Sediment Layer	Siltstone
PF18-116	Potato River Falls	PF18-116	PF18-116a	1075	1085.57	1050	Ma		lt	8.7	74.2		1	1	1	0		0	46.46	-90.53		pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	75.1	286.3	Sedimentary	Sediment Layer	Siltstone
