specimen,weight
PF18-1a,0.00576
PF18-2b,0.00787
PF18-3a,0.00581
PF18-4a,0.00645
PF18-5a,0.01169
PF18-6b,0.01438
PF18-7a,0.01445
PF18-8a,0.01751
PF18-9a,0.01233
PF18-10a,0.01388
PF18-11a,0.00792
PF18-12a,0.00444
PF18-13a,0.01131
PF18-14a,0.00567
PF18-15a,0.00868
PF18-16a,0.0116
PF18-17a,0.00934
PF18-18a,0.01181
PF18-19b,0.00741
PF18-20a,0.0062
PF18-21a,0.0079
PF18-22a,0.00803
PF18-23a,0.01062
PF18-24a,0.01209
PF18-25a,0.01167
PF18-26a,0.01403
PF18-27a,0.00979
PF18-28a,0.00382
PF18-29a,0.00494
PF18-30a,0.00674
PF18-31a,0.01061
PF18-32a,0.01431
PF18-33a,0.00538
PF18-34a,0.00856
PF18-35a,0.00927
PF18-36a,0.01279
PF18-37a,0.00862
PF18-38a,0.01147
PF18-39a,0.00731
PF18-40a,0.00848
PF18-41a,0.00667
PF18-42a,0.00575
PF18-43a,0.01351
PF18-44b,0.01054
PF18-45a,0.01259
PF18-46a,0.01367
PF18-47a,0.01005
PF18-48a,0.00729
PF18-49a,0.00699
PF18-50a,0.01249
PF18-51b,0.01212
PF18-52b,0.01011
PF18-53a,0.00812
PF18-54a,0.00723
PF18-55a,0.01413
PF18-56a,0.00843
PF18-57a,0.00922
PF18-58a,0.01251
PF18-59b,0.01065
PF18-60a,0.01412
PF18-61a,0.01136
PF18-62a,0.00735
PF18-63a,0.01337
PF18-64a,0.01339
PF18-65b,0.01084
PF18-66a,0.00522
PF18-67a,0.01017
PF18-68a,0.0101
PF18-69a,0.01186
PF18-70a,0.0137
PF18-71d,0.00615
PF18-72a,0.01273
PF18-73b,0.00972
PF18-74a,0.01314
PF18-75a,0.00522
PF18-76a,0.01198
PF18-77a,0.00622
PF18-78a,0.01433
PF18-79b,0.00999
PF18-80a,0.0146
PF18-81a,0.01354
PF18-82a,0.01376
PF18-83a,0.01247
PF18-84a,0.0123
PF18-85a,0.00849
PF18-86a,0.01168
PF18-87a,0.01296
PF18-88a,0.0114
PF18-89a,0.0129
PF18-90a,0.0139
PF18-91a,0.01368
PF18-92a,0.0123
PF18-93a,0.01321
PF18-94a,0.01282
PF18-95a,0.01088
PF18-96a,0.01019
PF18-97a,0.01255
PF18-98a,0.01313
PF18-99a,0.01388
PF18-100a,0.01349
PF18-101a,0.01203
PF18-102a,0.012
PF18-103a,0.0139
PF18-104a,0.01327
PF18-105a,0.00977
PF18-106a,0.01411
PF18-107a,0.01231
PF18-108a,0.01058
PF18-109a,0.01319
PF18-110a,0.01249
PF18-111a,0.00966
PF18-112a,0.01357
PF18-113a,0.01006
PF18-114a,0.01275
PF18-115a,0.01471
PF18-116a,0.01325
PF18-117a,0.01305
PF18-118a,0.01297
PF18-119a,0.01326
PF18-120a,0.01307
PF18-121a,0.01164
PF18-122a,0.014
PF18-123a,0.01282
PF18-124a,0.0126
PF18-125a,0.01155
PF18-126a,0.01214
PF18-127a,0.01352
PF18-128a,0.01296
PF18-129a,0.01262
PF18-130a,0.01326
PF18-131a,0.01325
PF18-132a,0.01337
PF18-133a,0.01242
PF18-134a,0.01151
PF18-135a,0.01242
PF18-136a,0.01406
PF18-137a,0.01322
PF18-138a,0.01339
PF18-139a,0.01265
PF18-140a,0.0128
PF18-141a,0.00885
PF18-142a,0.01114
PF18-143a,0.01129
PF18-144a,0.01383
PF18-145a,0.01308
PF18-146a,0.01031
PF18-147a,0.01307
PF18-148a,0.00656
PF18-149a,0.01206
PF18-150a,0.01226
PF18-151a,0.0133
PF18-152a,0.01177
PF18-153a,0.01299
PF18-154a,0.01372
PF18-155a,0.01445
PF18-156a,0.01374
PF18-157a,0.01337
PF18-158a,0.01288
PF18-159a,0.0133
PF18-160a,0.01005
PF18-161a,0.01261
PF18-162a,0.00991
PF18-163a,0.00804
