tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	33.6	0.0	81.4	311.5	This study	-29.0			105.9		SO-CMD-NORTH	PF18-1	PF18-1
	83.6	0.0	81.4	311.5	This study	-12.0			105.78		SO-CMD-NORTH	PF18-2	PF18-2
	-13.4	0.0	81.4	311.5	This study	-12.0			105.65		SO-CMD-NORTH	PF18-3	PF18-3
	-22.4	0.0	81.4	311.5	This study	-12.0			105.62		SO-CMD-NORTH	PF18-4	PF18-4
	176.6	0.0	81.4	311.5	This study	-17.0			105.4		SO-CMD-NORTH	PF18-5	PF18-5
	-12.4	0.0	81.4	311.5	This study	-5.0			105.35		SO-CMD-NORTH	PF18-6	PF18-6
	261.6	0.0	81.4	311.5	This study	-10.0			105.27		SO-CMD-NORTH	PF18-7	PF18-7
	55.6	0.0	81.4	311.5	This study	-27.0			105.12		SO-CMD-NORTH	PF18-8	PF18-8
	68.6	0.0	81.4	311.5	This study	-25.0			104.83		SO-CMD-NORTH	PF18-9	PF18-9
	54.6	0.0	81.4	311.5	This study	-33.0			104.77		SO-CMD-NORTH	PF18-10	PF18-10
	51.5	0.0	81.4	311.5	This study	-31.0			104.72		SO-CMD-NORTH	PF18-11	PF18-11
	58.6	0.0	81.4	311.5	This study	-41.0			104.62		SO-CMD-NORTH	PF18-12	PF18-12
	61.6	0.0	81.4	311.5	This study	-45.0			104.55		SO-CMD-NORTH	PF18-13	PF18-13
	41.6	0.0	81.4	311.5	This study	-26.0			104.36		SO-CMD-NORTH	PF18-14	PF18-14
	64.4	0.0	81.4	311.5	This study	-19.0			104.2		SO-CMD-NORTH	PF18-15	PF18-15
	29.6	0.0	81.4	311.5	This study	-34.0			104.15		SO-CMD-NORTH	PF18-16	PF18-16
	60.6	0.0	81.4	311.5	This study	-11.0			104.09		SO-CMD-NORTH	PF18-17	PF18-17
	47.6	0.0	81.4	311.5	This study	-25.0			104.02		SO-CMD-NORTH	PF18-18	PF18-18
	57.3	0.0	81.4	311.5	This study	-27.0			103.98		SO-CMD-NORTH	PF18-19	PF18-19
	53.9	0.0	81.4	311.5	This study	-29.0			103.96		SO-CMD-NORTH	PF18-20	PF18-20
	242.6	0.0	81.4	311.5	This study	-35.0			103.64		SO-CMD-NORTH	PF18-21	PF18-21
	32.6	0.0	81.4	311.5	This study	-19.0			103.41		SO-CMD-NORTH	PF18-22	PF18-22
	57.6	0.0	81.4	311.5	This study	-29.0			103.29		SO-CMD-NORTH	PF18-23	PF18-23
	79.6	0.0	81.4	311.5	This study	-39.0			103.18		SO-CMD-NORTH	PF18-24	PF18-24
	47.6	0.0	81.4	311.5	This study	-21.0			103.1		SO-CMD-NORTH	PF18-25	PF18-25
	47.6	0.0	81.4	311.5	This study	-20.0			103.05		SO-CMD-NORTH	PF18-26	PF18-26
	49.6	0.0	81.4	311.5	This study	-23.0			102.94		SO-CMD-NORTH	PF18-27	PF18-27
	44.8	0.0	81.4	311.5	This study	-16.0			102.7		SO-CMD-NORTH	PF18-28	PF18-28
	42.8	0.0	81.4	311.5	This study	-19.0			102.67		SO-CMD-NORTH	PF18-29	PF18-29
	48.6	0.0	81.4	311.5	This study	-10.0			102.47		SO-CMD-NORTH	PF18-30	PF18-30
	57.2	0.0	81.4	311.5	This study	-28.0			102.28		SO-CMD-NORTH	PF18-31	PF18-31
	74.5	0.0	81.4	311.5	This study	-27.0			102.21		SO-CMD-NORTH	PF18-32	PF18-32
	52.4	0.0	81.4	311.5	This study	-30.0			102.06		SO-CMD-NORTH	PF18-33	PF18-33
	61.3	0.0	81.4	311.5	This study	-25.0			101.85		SO-CMD-NORTH	PF18-34	PF18-34
	60.2	0.0	81.4	311.5	This study	-25.0			101.65		SO-CMD-NORTH	PF18-35	PF18-35
	60.5	0.0	81.4	311.5	This study	-21.0			101.59		SO-CMD-NORTH	PF18-36	PF18-36
	39.1	0.0	81.4	311.5	This study	-33.0			101.36		SO-CMD-NORTH	PF18-37	PF18-37
	38.0	0.0	81.4	311.5	This study	-26.0			101.17		SO-CMD-NORTH	PF18-38	PF18-38
	48.6	0.0	81.4	311.5	This study	-30.0			100.89		SO-CMD-NORTH	PF18-39	PF18-39
	56.6	0.0	81.4	311.5	This study	-31.0			100.42		SO-CMD-NORTH	PF18-40	PF18-40
	47.9	0.0	81.4	311.5	This study	-28.0			100.18		SO-CMD-NORTH	PF18-41	PF18-41
	33.6	0.0	81.4	311.5	This study	-24.0			99.88		SO-CMD-NORTH	PF18-42	PF18-42
	59.0	0.0	81.4	311.5	This study	-21.0			99.73		SO-CMD-NORTH	PF18-43	PF18-43
	59.8	0.0	81.4	311.5	This study	-23.0			99.36		SO-CMD-NORTH	PF18-44	PF18-44
	79.2	0.0	81.4	311.5	This study	-28.0			99.07		SO-CMD-NORTH	PF18-45	PF18-45
	55.3	0.0	81.4	311.5	This study	-22.0			98.4		SO-CMD-NORTH	PF18-46	PF18-46
	48.4	0.0	81.4	311.5	This study	-28.0			98.32		SO-CMD-NORTH	PF18-47	PF18-47
	99.7	0.0	81.4	311.5	This study	-32.0			98.16		SO-CMD-NORTH	PF18-48	PF18-48
	60.0	0.0	81.4	311.5	This study	-24.0			97.9		SO-CMD-NORTH	PF18-49	PF18-49
	48.5	0.0	81.4	311.5	This study	-30.0			97.81		SO-CMD-NORTH	PF18-50	PF18-50
	26.9	0.0	81.4	311.5	This study	-60.0			97.26		SO-CMD-NORTH	PF18-51	PF18-51
	74.0	0.0	81.4	311.5	This study	-14.0			97.11		SO-CMD-NORTH	PF18-52	PF18-52
	29.6	0.0	81.4	311.5	This study	-30.0			96.96		SO-CMD-NORTH	PF18-53	PF18-53
	29.8	0.0	81.4	311.5	This study	-37.0			96.9		SO-CMD-NORTH	PF18-54	PF18-54
	24.8	0.0	81.4	311.5	This study	-66.0			96.57		SO-CMD-NORTH	PF18-55	PF18-55
	65.6	0.0	81.4	311.5	This study	-21.0			96.46		SO-CMD-NORTH	PF18-56	PF18-56
	42.6	0.0	81.4	311.5	This study	-30.0			95.7		SO-CMD-NORTH	PF18-57	PF18-57
	46.8	0.0	81.4	311.5	This study	-31.0			95.62		SO-CMD-NORTH	PF18-58	PF18-58
	52.7	0.0	81.4	311.5	This study	-26.0			95.29		SO-CMD-NORTH	PF18-59	PF18-59
	43.0	0.0	81.4	311.5	This study	-32.0			95.24		SO-CMD-NORTH	PF18-60	PF18-60
	44.6	0.0	81.4	311.5	This study	-27.0			95.17		SO-CMD-NORTH	PF18-61	PF18-61
	48.4	0.0	81.4	311.5	This study	-33.0			95.13		SO-CMD-NORTH	PF18-62	PF18-62
	39.1	0.0	81.4	311.5	This study	-63.0			94.99		SO-CMD-NORTH	PF18-63	PF18-63
	36.3	0.0	81.4	311.5	This study	-38.0			94.73		SO-CMD-NORTH	PF18-64	PF18-64
	214.7	0.0	81.4	311.5	This study	-24.0			94.4		SO-CMD-NORTH	PF18-65	PF18-65
	61.7	0.0	81.4	311.5	This study	-34.0			93.88		SO-CMD-NORTH	PF18-66	PF18-66
	47.1	0.0	81.4	311.5	This study	-36.0			93.81		SO-CMD-NORTH	PF18-67	PF18-67
	36.3	0.0	81.4	311.5	This study	-37.0			93.78		SO-CMD-NORTH	PF18-68	PF18-68
	16.1	0.0	81.4	311.5	This study	-42.0			93.24		SO-CMD-NORTH	PF18-69	PF18-69
	18.3	0.0	81.4	311.5	This study	-35.0			92.56		SO-CMD-NORTH	PF18-70	PF18-70
	47.5	0.0	81.4	311.5	This study	-32.0			92.07		SO-CMD-NORTH	PF18-71	PF18-71
	227.6	0.0	81.9	308.9	This study	-35.0			114.9		SO-CMD-NORTH	PF18-72	PF18-72
	236.0	0.0	81.9	308.9	This study	-38.0			115.52		SO-CMD-NORTH	PF18-73	PF18-73
	229.6	0.0	81.9	308.9	This study	-39.0			115.87		SO-CMD-NORTH	PF18-74	PF18-74
	231.7	0.0	81.9	308.9	This study	-44.0			116.05		SO-CMD-NORTH	PF18-75	PF18-75
	213.1	0.0	81.9	308.9	This study	-30.0			116.51		SO-CMD-NORTH	PF18-76	PF18-76
	222.1	0.0	81.9	308.9	This study	-23.0			116.97		SO-CMD-NORTH	PF18-77	PF18-77
	216.3	0.0	81.9	308.9	This study	-27.0			117.33		SO-CMD-NORTH	PF18-78	PF18-78
	-71.0	0.0	81.9	308.9	This study	-43.0			117.95		SO-CMD-NORTH	PF18-79	PF18-79
	230.2	0.0	81.9	308.9	This study	-28.0			117.83		SO-CMD-NORTH	PF18-80	PF18-80
	237.9	0.0	81.9	308.9	This study	-40.0			118.51		SO-CMD-NORTH	PF18-81	PF18-81
	249.6	0.0	81.9	308.9	This study	-27.0			119.14		SO-CMD-NORTH	PF18-82	PF18-82
	237.3	0.0	81.9	308.9	This study	-22.0			119.67		SO-CMD-NORTH	PF18-83	PF18-83
	220.1	0.0	81.9	308.9	This study	-45.0			120.5		SO-CMD-NORTH	PF18-84	PF18-84
	28.4	0.0	81.9	308.9	This study	-18.0			120.69		SO-CMD-NORTH	PF18-85	PF18-85
	211.7	0.0	81.9	308.9	This study	-11.0			120.99		SO-CMD-NORTH	PF18-86	PF18-86
	215.8	0.0	81.9	308.9	This study	-33.0			121.37		SO-CMD-NORTH	PF18-87	PF18-87
	213.4	0.0	81.9	308.9	This study	-32.0			121.75		SO-CMD-NORTH	PF18-88	PF18-88
	232.1	0.0	81.9	308.9	This study	-17.0			122.07		SO-CMD-NORTH	PF18-89	PF18-89
	211.6	0.0	81.9	308.9	This study	-28.0			122.5		SO-CMD-NORTH	PF18-90	PF18-90
	252.9	0.0	81.9	308.9	This study	-27.0			122.9		SO-CMD-NORTH	PF18-91	PF18-91
	-5.4	0.0	81.9	308.9	This study	-13.0			123.2		SO-CMD-NORTH	PF18-92	PF18-92
	224.3	0.0	81.9	308.9	This study	-32.0			123.76		SO-CMD-NORTH	PF18-93	PF18-93
	230.1	0.0	81.9	308.9	This study	-18.0			124.23		SO-CMD-NORTH	PF18-94	PF18-94
	211.6	0.0	81.9	308.9	This study	-33.0			124.72		SO-CMD-NORTH	PF18-95	PF18-95
	-54.4	0.0	81.9	308.9	This study	-1.0			125.11		SO-CMD-NORTH	PF18-96	PF18-96
	222.6	0.0	81.9	308.9	This study	-32.0			125.62		SO-CMD-NORTH	PF18-97	PF18-97
	213.6	0.0	81.9	308.9	This study	-44.0			126.01		SO-CMD-NORTH	PF18-98	PF18-98
	-92.4	0.0	81.9	308.9	This study	-15.0			126.51		SO-CMD-NORTH	PF18-99	PF18-99
	261.7	0.0	81.9	308.9	This study	-14.0			126.94		SO-CMD-NORTH	PF18-100	PF18-100
	-8.9	0.0	81.9	308.9	This study	-16.0			127.3		SO-CMD-NORTH	PF18-101	PF18-101
	227.6	0.0	81.9	308.9	This study	-33.0			127.95		SO-CMD-NORTH	PF18-102	PF18-102
	246.6	0.0	81.9	308.9	This study	-23.0			128.18		SO-CMD-NORTH	PF18-103	PF18-103
	212.6	0.0	81.9	308.9	This study	-28.0			128.57		SO-CMD-NORTH	PF18-104	PF18-104
	-85.4	0.0	81.9	308.9	This study	-13.0			128.62		SO-CMD-NORTH	PF18-105	PF18-105
	253.6	0.0	81.9	308.9	This study	-22.0			129.39		SO-CMD-NORTH	PF18-106	PF18-106
	222.6	0.0	81.9	308.9	This study	-31.0			129.47		SO-CMD-NORTH	PF18-107	PF18-107
	218.6	0.0	81.9	308.9	This study	-34.0			129.89		SO-CMD-NORTH	PF18-108	PF18-108
	222.6	0.0	81.9	308.9	This study	-41.0			129.94		SO-CMD-NORTH	PF18-109	PF18-109
	220.6	0.0	81.9	308.9	This study	-24.0			130.42		SO-CMD-NORTH	PF18-110	PF18-110
	205.6	0.0	81.9	308.9	This study	-29.0			130.5		SO-CMD-NORTH	PF18-111	PF18-111
	212.6	0.0	81.9	308.9	This study	-34.0			131.05		SO-CMD-NORTH	PF18-112	PF18-112
	213.6	0.0	81.9	308.9	This study	-32.0			131.1		SO-CMD-NORTH	PF18-113	PF18-113
	31.6	0.0	81.9	308.9	This study	-29.0			131.62		SO-CMD-NORTH	PF18-114	PF18-114
	-38.4	0.0	81.9	308.9	This study	-33.0			132.5		SO-CMD-NORTH	PF18-115	PF18-115
	214.6	0.0	81.9	308.9	This study	-28.0			132.59		SO-CMD-NORTH	PF18-116	PF18-116
	223.6	0.0	81.9	308.9	This study	-33.0			133.07		SO-CMD-NORTH	PF18-117	PF18-117
	217.6	0.0	81.9	308.9	This study	-34.0			133.58		SO-CMD-NORTH	PF18-118	PF18-118
	204.6	0.0	81.9	308.9	This study	-28.0			134.02		SO-CMD-NORTH	PF18-119	PF18-119
	212.6	0.0	81.9	308.9	This study	-36.0			134.49		SO-CMD-NORTH	PF18-120	PF18-120
	218.6	0.0	81.9	308.9	This study	-29.0			134.86		SO-CMD-NORTH	PF18-121	PF18-121
	36.6	0.0	81.9	308.9	This study	-12.0			135.38		SO-CMD-NORTH	PF18-122	PF18-122
	-58.4	0.0	81.9	308.9	This study	-38.0			135.8		SO-CMD-NORTH	PF18-123	PF18-123
	224.6	0.0	81.9	308.9	This study	-48.0			136.31		SO-CMD-NORTH	PF18-124	PF18-124
	225.6	0.0	81.9	308.9	This study	-20.0			137.03		SO-CMD-NORTH	PF18-125	PF18-125
	220.6	0.0	81.9	308.9	This study	-32.0			137.7		SO-CMD-NORTH	PF18-126	PF18-126
	210.6	0.0	81.9	308.9	This study	-22.0			137.74		SO-CMD-NORTH	PF18-127	PF18-127
	226.6	0.0	81.9	308.9	This study	-25.0			139.46		SO-CMD-NORTH	PF18-128	PF18-128
	215.6	0.0	81.9	308.9	This study	-45.0			139.86		SO-CMD-NORTH	PF18-129	PF18-129
	225.6	0.0	81.9	308.9	This study	-36.0			140.18		SO-CMD-NORTH	PF18-130	PF18-130
	216.6	0.0	81.9	308.9	This study	-38.0			140.25		SO-CMD-NORTH	PF18-131	PF18-131
	236.6	0.0	81.9	308.9	This study	-22.0			140.68		SO-CMD-NORTH	PF18-132	PF18-132
	218.6	0.0	81.9	308.9	This study	-21.0			140.85		SO-CMD-NORTH	PF18-133	PF18-133
	210.6	0.0	81.9	308.9	This study	-55.0			141.89		SO-CMD-NORTH	PF18-134	PF18-134
	219.6	0.0	81.9	308.9	This study	-50.0			142.82		SO-CMD-NORTH	PF18-135	PF18-135
	226.6	0.0	81.9	308.9	This study	-15.0			143.57		SO-CMD-NORTH	PF18-136	PF18-136
	224.6	0.0	81.9	308.9	This study	-38.0			144.47		SO-CMD-NORTH	PF18-137	PF18-137
	88.6	0.0	83.0	312.8	This study	-9.0			145.24		SO-CMD-NORTH	PF18-138	PF18-138
	54.6	0.0	83.0	312.8	This study	-10.0			145.44		SO-CMD-NORTH	PF18-139	PF18-139
	41.6	0.0	83.0	312.8	This study	-25.0			145.77		SO-CMD-NORTH	PF18-140	PF18-140
	220.6	0.0	83.0	312.8	This study	-29.0			146.42		SO-CMD-NORTH	PF18-141	PF18-141
	37.6	0.0	83.0	312.8	This study	-23.0			146.73		SO-CMD-NORTH	PF18-142	PF18-142
	47.6	0.0	83.0	312.8	This study	-29.0			147.23		SO-CMD-NORTH	PF18-143	PF18-143
	39.6	0.0	83.0	312.8	This study	-23.0			147.37		SO-CMD-NORTH	PF18-144	PF18-144
	57.6	0.0	83.0	312.8	This study	-28.0			148.2		SO-CMD-NORTH	PF18-145	PF18-145
	-43.4	0.0	83.0	312.8	This study	-12.0			148.95		SO-CMD-NORTH	PF18-146	PF18-146
	47.6	0.0	83.0	312.8	This study	-38.0			149.54		SO-CMD-NORTH	PF18-147	PF18-147
	22.6	0.0	83.0	312.8	This study	-20.0			150.21		SO-CMD-NORTH	PF18-148	PF18-148
	-6.4	0.0	83.0	312.8	This study	-31.0			150.91		SO-CMD-NORTH	PF18-149	PF18-149
	73.6	0.0	83.0	312.8	This study	-32.0			151.52		SO-CMD-NORTH	PF18-150	PF18-150
	41.6	0.0	83.0	312.8	This study	-37.0			152.25		SO-CMD-NORTH	PF18-151	PF18-151
	-44.4	0.0	83.0	312.8	This study	-27.0			152.67		SO-CMD-NORTH	PF18-152	PF18-152
	59.6	0.0	83.0	312.8	This study	-30.0			153.32		SO-CMD-NORTH	PF18-153	PF18-153
	75.6	0.0	83.0	312.8	This study	-27.0			154.27		SO-CMD-NORTH	PF18-154	PF18-154
	55.6	0.0	83.0	312.8	This study	-35.0			155.02		SO-CMD-NORTH	PF18-155	PF18-155
	59.6	0.0	83.0	312.8	This study	-28.0			155.55		SO-CMD-NORTH	PF18-156	PF18-156
	53.6	0.0	83.0	312.8	This study	-16.0			155.79		SO-CMD-NORTH	PF18-157	PF18-157
