tab 	location																			
location	location_type	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age_low	age_high	age_unit									
Big Iron River	Stratigraphic Section	10.1139/e77-103	Sedimentary	Shale:Sandstone	46.815	46.821	-89.573	-89.569	1070	1080	Ma									
Lake Superior Shoreline	Stratigraphic Section	10.1139/e77-103	Sedimentary	Sandstone	46.835	46.838	-89.552	-89.526	1070	1080	Ma									
Presque Isle River	Stratigraphic Section	10.1139/e77-103	Sedimentary	Shale:Sandstone	46.666	46.674	-89.941	-89.939	1070	1080	Ma									
Silver City	Stratigraphic Section	10.1139/e77-103	Sedimentary	Shale	46.83	46.832	-89.583	-89.572	1070	1080	Ma									
>>>>>>>>>>																				
tab 	sites																			
age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	samples	site	specimens
1080	1050	Ma	7.4	PRIM	279.3	14	275	3	100	Nonesuch	Sedimentary	Sediment Layer	46.818	Shale	Big Iron River	-89.57	LP-DIR-T	NS4:NS5:NS6	2	NS4:NS5:NS6
1080	1050	Ma	4.9	PRIM	279.9	2.8	2558	2	100	Freda	Sedimentary	Sediment Layer	46.817	Sandstone	Big Iron River	-89.57	LP-DIR-T	NS7:NS9	3	NS7:NS9
1080	1050	Ma	2	PRIM	285.5	4.9	2065	4	100	Freda	Sedimentary	Sediment Layer	46.817	Sandstone	Big Iron River	-89.571	LP-DIR-T	NS10:NS11:NS12:NS13	4	NS10:NS11:NS12:NS13
1080	1050	Ma	12.6	PRIM	285	5.6	97	3	100	Freda	Sedimentary	Sediment Layer	46.815	Sandstone	Big Iron River	-89.57	LP-DIR-T	NS14:NS15:NS16:NS17	5	NS14:NS15:NS16:NS17
1080	1050	Ma	13.1	PRIM	282	10	90	3	100	Freda	Sedimentary	Sediment Layer	46.815	Sandstone	Big Iron River	-89.569	LP-DIR-T	NS18:NS19:NS20	6	NS18:NS19:NS20
1080	1050	Ma		PRIM	266.6	-7.3		1	100	Nonesuch	Sedimentary	Sediment Layer	46.82	Shale	Big Iron River	-89.572	LP-DIR-T	NS21:NS23:NS24:NS25	7	NS21:NS23:NS24:NS25
1080	1050	Ma	25.7	PRIM	276	11.7	10	5	100	Nonesuch	Sedimentary	Sediment Layer	46.82	Shale	Big Iron River	-89.572	LP-DIR-T	NS26:NS27:NS28:NS29	8	NS26:NS27:NS28:NS29
1080	1050	Ma	35.3	PRIM	288	-3.6	13	3	100	Nonesuch	Sedimentary	Sediment Layer	46.82	Shale	Big Iron River	-89.572	LP-DIR-T	NS30:NS31:NS32:NS33	9	NS30:NS31:NS32:NS33
1080	1050	Ma		PRIM	261.9	21.7		1	100	Nonesuch	Sedimentary	Sediment Layer	46.821	Shale	Big Iron River	-89.573	LP-DIR-T	NS35	10	NS35
1080	1050	Ma	10.6	PRIM	280	-0.6	136	3	100	Nonesuch	Sedimentary	Sediment Layer	46.821	Shale	Big Iron River	-89.573	LP-DIR-T	NS37:NS38	11	NS37:NS38
1080	1050	Ma	7.5	PRIM	269.1	-3.8	270	3	100	Freda	Sedimentary	Sediment Layer	46.836	Sandstone	Lake Superior Shoreline	-89.535	LP-DIR-T	F1:F2:F4	12	F1:F2:F4
1080	1050	Ma	5.7	PRIM	263.1	-7.5	261	4	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	-89.533	LP-DIR-T	13X:13Y:F16:F17	13	13X:13Y:F16:F17
1080	1050	Ma	3.9	PRIM	267.2	-0.1	176	9	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	-89.533	LP-DIR-T	14V:14X:14Y:F10:F5:F6:F7:F8:F9	14	14V:14X:14Y:F10:F5:F6:F7:F8:F9
1080	1050	Ma	4.3	PRIM	261.7	-6.8	143	9	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	-89.532	LP-DIR-T	15X:15Y:F18:F19:F20:F21:F22:F23:F24	15	15X:15Y:F18:F19:F20:F21:F22:F23:F24
1080	1050	Ma	2.8	PRIM	281.2	8.8	569	7	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	-89.529	LP-DIR-T	16X:16Z:F11:F12:F13:F14:F15	16	16X:16Z:F11:F12:F13:F14:F15
1080	1050	Ma	5.1	PRIM	286.5	-8.9	319	4	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	-89.526	LP-DIR-T	F25:F26:F27:F28	17	F25:F26:F27:F28
1080	1050	Ma	8.1	PRIM	273.1	-2.3	90	6	100	Freda	Sedimentary	Sediment Layer	46.835	Sandstone	Lake Superior Shoreline	-89.541	LP-DIR-T	18A:18B:18W:18X:18Y:18Z	18	18A:18B:18W:18X:18Y:18Z
1080	1050	Ma	3.3	PRIM	288.7	-8.4	787	4	100	Freda	Sedimentary	Sediment Layer	46.836	Sandstone	Lake Superior Shoreline	-89.552	LP-DIR-T	19A:19B:19C:19D	19	19A:19B:19C:19D
1080	1050	Ma	10.3	PRIM	267.2	-2.2	80	4	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	-89.531	LP-DIR-T	20A:20B:20C:20D	20	20A:20B:20C:20D
1080	1050	Ma	2.6	PRIM	264.2	-11.9	1244	4	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	-89.53	LP-DIR-T	21A:21B:21C:21D	21	21A:21B:21C:21D
1080	1050	Ma	6.9	PRIM	254.8	-5.8	1322	2	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	-89.527	LP-DIR-T	22A:22B	22	22A:22B
1080	1050	Ma	5	PRIM	272.1	16.5	2495	2	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	-89.528	LP-DIR-T	23A:23B	23	23A:23B
1080	1050	Ma	6.5	PRIM	266.9	13.1	198	4	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	-89.529	LP-DIR-T	24A:24B:24C:24D	24	24A:24B:24C:24D
1080	1050	Ma		PRIM	265.2	9		1	100	Nonesuch	Sedimentary	Sediment Layer	46.666	Shale	Presque Isle River	-89.939	LP-DIR-T	30B	30	30B
1080	1050	Ma		PRIM	281.6	-2.2		1	100	Nonesuch	Sedimentary	Sediment Layer	46.666	Shale	Presque Isle River	-89.941	LP-DIR-T	31C	31	31C
1080	1050	Ma		PRIM	275.6	9.3		4	100	Nonesuch	Sedimentary	Sediment Layer	46.667	Shale	Presque Isle River	-89.94	LP-DIR-T	32A:32B:32C:32D	32	32A:32B:32C:32D
1080	1050	Ma	5.3	PRIM	289.4	25.6	301	4	100	Nonesuch	Sedimentary	Sediment Layer	46.668	Shale	Presque Isle River	-89.94	LP-DIR-T	33A:33B:33C:33D	33	33A:33B:33C:33D
1080	1050	Ma	2.3	PRIM	250.9	1.6	877	7	100	Freda	Sedimentary	Sediment Layer	46.672	Sandstone	Presque Isle River	-89.94	LP-DIR-T	34A:34B:34C:34D:34X:34Y:34Z	34	34A:34B:34C:34D:34X:34Y:34Z
1080	1050	Ma	4.6	PRIM	263.1	5.5	721	3	100	Freda	Sedimentary	Sediment Layer	46.674	Sandstone	Presque Isle River	-89.94	LP-DIR-T	35A:35B:35C	35	35A:35B:35C
1080	1050	Ma	5.5	PRIM	287.4	19	278	4	100	Nonesuch	Sedimentary	Sediment Layer	46.832	Shale	Silver City	-89.572	LP-DIR-T	2a:2b:2c:2d	40	2a:2b:2c:2d
1080	1050	Ma	7.9	PRIM	281.5	10.2	136	4	100	Nonesuch	Sedimentary	Sediment Layer	46.83	Shale	Silver City	-89.583	LP-DIR-T	3a:3b:3c:3d	41	3a:3b:3c:3d
>>>>>>>>>>																				
tab 	samples																			
bed_dip	bed_dip_direction	height	sample	site																
17	134	-17	NS4	2																
17	134	-17	NS5	2																
17	134	-17	NS6	2																
18	130	9	NS7	3																
18	130	9	NS9	3																
14.8	125	21	NS10	4																
14.8	125	21	NS11	4																
14.8	125	21	NS12	4																
14.8	125	21	NS13	4																
14.5	120	52	NS14	5																
14.5	120	52	NS15	5																
14.5	120	52	NS16	5																
14.5	120	52	NS17	5																
18.5	137	84	NS18	6																
18.5	137	84	NS19	6																
18.5	137	84	NS20	6																
19	122	-47	NS21	7																
19	122	-47	NS23	7																
19	122	-47	NS24	7																
19	122	-47	NS25	7																
19.7	115	-65	NS26	8																
19.7	115	-65	NS27	8																
19.7	115	-65	NS28	8																
19.7	115	-65	NS29	8																
18.7	131	-81	NS30	9																
18.7	131	-81	NS31	9																
18.7	131	-81	NS32	9																
18.7	131	-81	NS33	9																
19.3	121	-122	NS35	10																
19.3	116	-138	NS37	11																
19.3	116	-138	NS38	11																
16.9	43	486	F1	12																
16.9	43	486	F2	12																
16.9	43	486	F4	12																
13.2	43	515	13X	13																
13.2	43	515	13Y	13																
13.2	43	515	F16	13																
13.2	43	515	F17	13																
13.2	44	535	14V	14																
13.2	44	535	14X	14																
13.2	44	535	14Y	14																
13.2	44	535	F10	14																
13.2	44	535	F5	14																
13.2	44	535	F6	14																
13.2	44	535	F7	14																
13.2	44	535	F8	14																
13.2	44	535	F9	14																
13.2	43	557	15X	15																
13.2	43	557	15Y	15																
13.2	43	557	F18	15																
13.2	43	557	F19	15																
13.2	43	557	F20	15																
13.2	43	557	F21	15																
13.2	43	557	F22	15																
13.2	43	557	F23	15																
13.2	43	557	F24	15																
14	43	612	16X	16																
14	43	612	16Z	16																
14	43	612	F11	16																
14	43	612	F12	16																
14	43	612	F13	16																
14	43	612	F14	16																
14	43	612	F15	16																
14.8	53	667	F25	17																
14.8	53	667	F26	17																
14.8	53	667	F27	17																
14.8	53	667	F28	17																
17	46	407	18A	18																
17	46	407	18B	18																
17	46	407	18W	18																
17	46	407	18X	18																
17	46	407	18Y	18																
17	46	407	18Z	18																
12.5	45	271	19A	19																
12.5	45	271	19B	19																
12.5	45	271	19C	19																
12.5	45	271	19D	19																
14	45	579	20A	20																
14	45	579	20B	20																
14	45	579	20C	20																
14	45	579	20D	20																
12.5	39	594	21A	21																
12.5	39	594	21B	21																
12.5	39	594	21C	21																
12.5	39	594	21D	21																
13.4	52	645	22A	22																
13.4	52	645	22B	22																
8	20	628	23A	23																
8	20	628	23B	23																
17.5	46	615	24A	24																
17.5	46	615	24B	24																
17.5	46	615	24C	24																
17.5	46	615	24D	24																
18.7	15	-183	30B	30																
20.3	1	-167	31C	31																
18.5	354	-137	32A	32																
18.5	354	-137	32B	32																
18.5	354	-137	32C	32																
18.5	354	-137	32D	32																
18.5	1	-100	33A	33																
18.5	1	-100	33B	33																
18.5	1	-100	33C	33																
18.5	1	-100	33D	33																
10	339	28	34A	34																
10	339	28	34B	34																
10	339	28	34C	34																
10	339	28	34D	34																
10	339	28	34X	34																
10	339	28	34Y	34																
10	339	28	34Z	34																
8	316	73	35A	35																
8	316	73	35B	35																
8	316	73	35C	35																
13.5	15	15	2a	40																
13.5	15	15	2b	40																
13.5	15	15	2c	40																
13.5	15	15	2d	40																
15.5	17	-200	3a	41																
15.5	17	-200	3b	41																
15.5	17	-200	3c	41																
15.5	17	-200	3d	41																
>>>>>>>>>>																				
tab 	specimens																			
citations	description	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_nrm_origin	dir_polarity	dir_tilt_correction	int_corr	method_codes	result_quality	sample	specimen							
Henry1977	Nonesuch shale	PRIM	272.1	12.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	35a	35a							
Henry1977	Nonesuch shale	PRIM	261.9	21.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	35a	35a							
Henry1977	Nonesuch shale	PRIM	271.7	-16	1	p	n	0	u	DE-BFL:LP-DIR-T	g	37a	37a							
Henry1977	Nonesuch shale	PRIM	273.5	-4.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	37a	37a							
Henry1977	Nonesuch shale	PRIM	281.7	-16	1	p	n	0	u	DE-BFL:LP-DIR-T	g	38a	38a							
Henry1977	Nonesuch shale	PRIM	282.2	2.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	38a	38a							
Henry1977	Nonesuch shale	PRIM	283.8	-18.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	38b	38b							
Henry1977	Nonesuch shale	PRIM	284.4	0.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	38b	38b							
Henry1977	Freda sandstone	PRIM	270.7	-19.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F1	F1							
Henry1977	Freda sandstone	PRIM	267.7	-7.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F1	F1							
Henry1977	Freda sandstone	PRIM	276.4	-16.2	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F2	F2							
Henry1977	Freda sandstone	PRIM	268.1	-4.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F2	F2							
Henry1977	Freda sandstone	SEC	284.6	-14.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F2	F2							
Henry1977	Freda sandstone	SEC	281.9	-6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F2	F2							
Henry1977	Freda sandstone	PRIM	272.4	-10.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	F4	F4							
Henry1977	Freda sandstone	PRIM	271.4	1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	F4	F4							
Henry1977	Freda sandstone	PRIM	259.9	0.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	13X	13X							
Henry1977	Freda sandstone	PRIM	260.7	-10.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	13X	13X							
Henry1977	Freda sandstone	PRIM	259.9	-0.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	13Y	13Y							
Henry1977	Freda sandstone	PRIM	260.8	-11.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	13Y	13Y							
Henry1977	Freda sandstone	PRIM	266.9	-13.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F16	F16							
Henry1977	Freda sandstone	PRIM	265.4	-4.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F16	F16							
Henry1977	Freda sandstone	SEC	284.8	-20.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F16	F16							
Henry1977	Freda sandstone	SEC	281.2	-13.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F16	F16							
Henry1977	Freda sandstone	PRIM	266.9	-13.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F17	F17							
Henry1977	Freda sandstone	PRIM	265.5	-3.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F17	F17							
Henry1977	Freda sandstone	SEC	283.1	-20.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F17	F17							
Henry1977	Freda sandstone	SEC	279.6	-13.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F17	F17							
Henry1977	Freda sandstone	PRIM	268.6	-3.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	14V	14V							
Henry1977	Freda sandstone	PRIM	268.8	6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	14V	14V							
Henry1977	Freda sandstone	PRIM	275.2	-4.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	14X	14X							
Henry1977	Freda sandstone	PRIM	275.1	3.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	14X	14X							
Henry1977	Freda sandstone	PRIM	271.9	-2.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	14Y	14Y							
Henry1977	Freda sandstone	PRIM	272.3	6.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	14Y	14Y							
Henry1977	Freda sandstone	PRIM	267	-11.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F10	F10							
Henry1977	Freda sandstone	PRIM	265.9	-1.8	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F10	F10							
Henry1977	Freda sandstone	SEC	280.8	-16.5	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F10	F10							
Henry1977	Freda sandstone	SEC	278.3	-9.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F10	F10							
Henry1977	Freda sandstone	PRIM	262.9	-12.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F5	F5							
Henry1977	Freda sandstone	PRIM	261.8	-2.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F5	F5							
Henry1977	Freda sandstone	SEC	284.5	-18.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F5	F5							
Henry1977	Freda sandstone	SEC	281.3	-12.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F5	F5							
Henry1977	Freda sandstone	PRIM	265.4	-12.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F6	F6							
Henry1977	Freda sandstone	PRIM	264.2	-2.6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	F6	F6							
Henry1977	Freda sandstone	SEC	282.3	-16.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	F6	F6							
