tab 	location																			
location	location_type	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age_low	age_high	age_unit									
Henry1977	Freda sandstone	SEC	291.6	-23.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	19B	19B							
Henry1977	Freda sandstone	SEC	287.4	-17.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	19B	19B							
Henry1977	Freda sandstone	PRIM	291.5	-10.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	19C	19C							
Henry1977	Freda sandstone	PRIM	289.9	-5.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	19C	19C							
Henry1977	Freda sandstone	SEC	297.2	-16.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	19C	19C							
Henry1977	Freda sandstone	SEC	294.1	-12.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	19C	19C							
Henry1977	Freda sandstone	PRIM	288.7	-16.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	19D	19D							
Henry1977	Freda sandstone	PRIM	286	-10.6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	19D	19D							
Henry1977	Nonesuch shale	PRIM	278.5	-4.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS4	NS4							
Henry1977	Nonesuch shale	PRIM	278.1	9.6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS4	NS4							
Henry1977	Nonesuch shale	PRIM	283.6	0.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS5	NS5							
Henry1977	Nonesuch shale	PRIM	282.4	14.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS5	NS5							
Henry1977	Nonesuch shale	PRIM	279.4	4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS6	NS6							
Henry1977	Nonesuch shale	PRIM	277.8	17.8	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS6	NS6							
Henry1977	Freda sandstone	PRIM	262.5	-11	2	p	n	0	u	DE-BFL:LP-DIR-T	g	20A	20A							
Henry1977	Freda sandstone	PRIM	261.7	0.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	20A	20A							
Henry1977	Freda sandstone	SEC	277.5	-21.9	2	p	n	0	u	DE-BFL:LP-DIR-T	g	20A	20A							
Henry1977	Freda sandstone	SEC	274.1	-13	2	p	n	100	u	DE-BFL:LP-DIR-T	g	20A	20A							
Henry1977	Freda sandstone	PRIM	259	-10.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	20B	20B							
Henry1977	Freda sandstone	PRIM	258.3	1.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	20B	20B							
Henry1977	Freda sandstone	PRIM	275.8	-13.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	20C	20C							
Henry1977	Freda sandstone	PRIM	274.1	-4.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	20C	20C							
Henry1977	Freda sandstone	SEC	267.7	-31.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	20C	20C							
Henry1977	Freda sandstone	SEC	263.3	-20.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	20C	20C							
Henry1977	Freda sandstone	PRIM	276.6	-14.7	1	p	n	0	u	DE-BFL:LP-DIR-T	g	20D	20D							
Henry1977	Freda sandstone	PRIM	274.7	-5.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	20D	20D							
Henry1977	Freda sandstone	PRIM	265.6	-19.3	1	p	n	0	u	DE-BFL:LP-DIR-T	g	21A	21A							
Henry1977	Freda sandstone	PRIM	263.2	-10.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	21A	21A							
Henry1977	Freda sandstone	PRIM	265.8	-19.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	21B	21B							
Henry1977	Freda sandstone	PRIM	263.4	-10.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	21B	21B							
Henry1977	Freda sandstone	PRIM	266.6	-21.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	21C	21C							
Henry1977	Freda sandstone	PRIM	263.7	-13.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	21C	21C							
Henry1977	Freda sandstone	PRIM	269.6	-21.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	21D	21D							
Henry1977	Freda sandstone	PRIM	266.6	-13.6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	21D	21D							
Henry1977	Freda sandstone	PRIM	254.7	-19.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	22A	22A							
Henry1977	Freda sandstone	PRIM	253.5	-6.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	22A	22A							
Henry1977	Freda sandstone	PRIM	257.2	-17.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	22B	22B							
Henry1977	Freda sandstone	PRIM	256.1	-4.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	22B	22B							
Henry1977	Freda sandstone	PRIM	269.1	13.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	23A	23A							
Henry1977	Freda sandstone	PRIM	271	16	2	p	n	100	u	DE-BFL:LP-DIR-T	g	23A	23A							
Henry1977	Freda sandstone	SEC	272	-10.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	23A	23A							
Henry1977	Freda sandstone	SEC	270.8	-7.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	23A	23A							
Henry1977	Freda sandstone	PRIM	271.1	14.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	23B	23B							
Henry1977	Freda sandstone	PRIM	273.2	16.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	23B	23B							
Henry1977	Freda sandstone	SEC	278	-11.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	23B	23B							
Henry1977	Freda sandstone	SEC	276.6	-9.6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	23B	23B							
Henry1977	Freda sandstone	PRIM	266.7	-4.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24A	24A							
Henry1977	Freda sandstone	PRIM	267.1	8.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24A	24A							
Henry1977	Freda sandstone	SEC	281.6	-14	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24A	24A							
Henry1977	Freda sandstone	SEC	279.4	-3.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24A	24A							
Henry1977	Freda sandstone	PRIM	263.4	4.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24B	24B							
Henry1977	Freda sandstone	PRIM	265.5	18.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24B	24B							
Henry1977	Freda sandstone	SEC	282.1	-10.9	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24B	24B							
Henry1977	Freda sandstone	SEC	280.6	-0.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24B	24B							
Henry1977	Freda sandstone	PRIM	264.3	-5.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24C	24C							
Henry1977	Freda sandstone	PRIM	264.6	8.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24C	24C							
Henry1977	Freda sandstone	SEC	292.7	-6.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24C	24C							
Henry1977	Freda sandstone	SEC	291.9	0.7	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24C	24C							
Henry1977	Freda sandstone	PRIM	268.2	4.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24D	24D							
Henry1977	Freda sandstone	PRIM	270.5	17.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24D	24D							
Henry1977	Freda sandstone	SEC	276.4	-15.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	24D	24D							
Henry1977	Freda sandstone	SEC	274	-4.3	2	p	n	100	u	DE-BFL:LP-DIR-T	g	24D	24D							
Henry1977	Freda sandstone	PRIM	280	-12.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS7	NS7							
Henry1977	Freda sandstone	PRIM	280.7	3.6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS7	NS7							
Henry1977	Freda sandstone	SEC	274	-23.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS7	NS7							
Henry1977	Freda sandstone	SEC	277	-8.8	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS7	NS7							
Henry1977	Freda sandstone	PRIM	278.1	-13.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS9	NS9							
Henry1977	Freda sandstone	PRIM	279	2.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS9	NS9							
Henry1977	Freda sandstone	SEC	286.7	-25	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS9	NS9							
Henry1977	Freda sandstone	SEC	288.7	-8.3	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS9	NS9							
Henry1977	Nonesuch shale	PRIM	263.4	2.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	30B	30B							
Henry1977	Nonesuch shale	PRIM	265.2	9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	30B	30B							
Henry1977	Nonesuch shale	PRIM	281.6	2.3	1	p	n	0	u	DE-BFL:LP-DIR-T	g	31C	31C							
Henry1977	Nonesuch shale	PRIM	281.6	-2.2	1	p	n	100	u	DE-BFL:LP-DIR-T	g	31C	31C							
Henry1977	Nonesuch shale	PRIM	272.1	12.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	32A	32A							
Henry1977	Nonesuch shale	PRIM	275.6	9.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	32A	32A							
Henry1977	Nonesuch shale	NRM	295.5	38	1	p	n	0	u	DE-BFL:LP-DIR-T	b	32B	32B							
Henry1977	Nonesuch shale	NRM	296.5	34.5	1	p	n	0	u	DE-BFL:LP-DIR-T	b	32C	32C							
Henry1977	Nonesuch shale	NRM	110.6	52.8	1	p	n	0	u	DE-BFL:LP-DIR-T	b	32D	32D							
Henry1977	Nonesuch shale	PRIM	275.6	29.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	33A	33A							
Henry1977	Nonesuch shale	PRIM	285.9	24.9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	33A	33A							
Henry1977	Nonesuch shale	PRIM	280.9	33.3	1	p	n	0	u	DE-BFL:LP-DIR-T	g	33B	33B							
Henry1977	Nonesuch shale	PRIM	292.2	27.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	33B	33B							
Henry1977	Nonesuch shale	PRIM	276.3	34.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	33C	33C							
Henry1977	Nonesuch shale	PRIM	288.9	30	1	p	n	100	u	DE-BFL:LP-DIR-T	g	33C	33C							
Henry1977	Nonesuch shale	PRIM	281.9	26.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	33D	33D							
Henry1977	Nonesuch shale	PRIM	290.4	20.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	33D	33D							
Henry1977	Freda sandstone	PRIM	253.7	1.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	34A	34A							
Henry1977	Freda sandstone	PRIM	253.8	0.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	34A	34A							
Henry1977	Freda sandstone	PRIM	250.8	0.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	34B	34B							
Henry1977	Freda sandstone	PRIM	250.9	0.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	34B	34B							
Henry1977	Freda sandstone	PRIM	251	0.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	34C	34C							
Henry1977	Freda sandstone	PRIM	251.1	0.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	34C	34C							
Henry1977	Freda sandstone	PRIM	251.6	1.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	34D	34D							
Henry1977	Freda sandstone	PRIM	251.9	1.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	34D	34D							
Henry1977	Freda sandstone	PRIM	249.6	2.2	1	p	n	0	u	DE-BFL:LP-DIR-T	g	34X	34X							
Henry1977	Freda sandstone	PRIM	249.9	1.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	34X	34X							
Henry1977	Freda sandstone	NRM	160.3	4.6	1	p	n	0	u	DE-BFL:LP-DIR-T	b	34Y	34Y							
Henry1977	Freda sandstone	NRM	157.7	5.8	1	p	n	100	u	DE-BFL:LP-DIR-T	b	34Y	34Y							
Henry1977	Freda sandstone	PRIM	246.7	5.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	34Z	34Z							
Henry1977	Freda sandstone	PRIM	247.6	5.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	34Z	34Z							
Henry1977	Freda sandstone	PRIM	261.1	9.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	35A	35A							
Henry1977	Freda sandstone	PRIM	261.9	4.6	2	p	n	100	u	DE-BFL:LP-DIR-T	g	35A	35A							
Henry1977	Freda sandstone	SEC	270.6	0.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	35A	35A							
Henry1977	Freda sandstone	SEC	270.4	-5.2	2	p	n	100	u	DE-BFL:LP-DIR-T	g	35A	35A							
Henry1977	Freda sandstone	PRIM	265.5	10.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	35B	35B							
Henry1977	Freda sandstone	PRIM	266.4	5.5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	35B	35B							
Henry1977	Freda sandstone	SEC	267	4.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	35B	35B							
Henry1977	Freda sandstone	SEC	267.2	-0.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	35B	35B							
Henry1977	Freda sandstone	PRIM	260	10.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	35C	35C							
Henry1977	Freda sandstone	PRIM	261	6.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	35C	35C							
Henry1977	Freda sandstone	PRIM	286.6	-8.3	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS10	NS10							
Henry1977	Freda sandstone	PRIM	286.7	5.8	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS10	NS10							
Henry1977	Freda sandstone	SEC	285.7	-26	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS10	NS10							
Henry1977	Freda sandstone	SEC	287.3	-11.9	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS10	NS10							
Henry1977	Freda sandstone	PRIM	284.5	-7.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS11	NS11							
Henry1977	Freda sandstone	PRIM	284.6	6.3	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS11	NS11							
Henry1977	Freda sandstone	SEC	282.9	-24.6	2	p	n	0	u	DE-BFL:LP-DIR-T	g	NS11	NS11							
Henry1977	Freda sandstone	SEC	284.7	-10.8	2	p	n	100	u	DE-BFL:LP-DIR-T	g	NS11	NS11							
Henry1977	Freda sandstone	PRIM	285.6	-10.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS12	NS12							
Henry1977	Freda sandstone	PRIM	286	3.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS12	NS12							
Henry1977	Freda sandstone	PRIM	284.4	-9.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS13	NS13							
Henry1977	Freda sandstone	PRIM	284.6	4.4	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS13	NS13							
Henry1977	Freda sandstone	PRIM	281.1	16.7	1	p	n	0	u	DE-BFL:LP-DIR-T	g	2a	2a							
Henry1977	Freda sandstone	PRIM	285.2	17.2	1	p	n	100	u	DE-BFL:LP-DIR-T	g	2a	2a							
Henry1977	Freda sandstone	PRIM	281.1	25.7	1	p	n	0	u	DE-BFL:LP-DIR-T	g	2b	2b							
Henry1977	Freda sandstone	PRIM	287.7	25.8	1	p	n	100	u	DE-BFL:LP-DIR-T	g	2b	2b							
Henry1977	Freda sandstone	PRIM	284.1	18	1	p	n	0	u	DE-BFL:LP-DIR-T	g	2c	2c							
Henry1977	Freda sandstone	PRIM	288.5	17.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	2c	2c							
Henry1977	Freda sandstone	PRIM	284.3	15.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	2d	2d							
Henry1977	Freda sandstone	PRIM	288.1	15.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	2d	2d							
Henry1977	Nonesuch shale	PRIM	281.3	9.3	1	p	n	0	u	DE-BFL:LP-DIR-T	g	3a	3a							
Henry1977	Nonesuch shale	PRIM	284	10.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	3a	3a							
Henry1977	Nonesuch shale	PRIM	282.5	8.7	1	p	n	0	u	DE-BFL:LP-DIR-T	g	3b	3b							
Henry1977	Nonesuch shale	PRIM	285	9.6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	3b	3b							
Henry1977	Nonesuch shale	PRIM	268.5	7.7	2	p	n	0	u	DE-BFL:LP-DIR-T	g	3c	3c							
Henry1977	Nonesuch shale	PRIM	271.2	12.3	2	p	n	100	u	DE-BFL:LP-DIR-T	g	3c	3c							
Henry1977	Nonesuch shale	SEC	291.8	-3.9	2	p	n	0	u	DE-BFL:LP-DIR-T	g	3c	3c							
Henry1977	Nonesuch shale	SEC	290.6	-5	2	p	n	100	u	DE-BFL:LP-DIR-T	g	3c	3c							
Henry1977	Nonesuch shale	PRIM	283.5	7.4	2	p	n	0	u	DE-BFL:LP-DIR-T	g	3d	3d							
Henry1977	Nonesuch shale	PRIM	285.6	8.1	2	p	n	100	u	DE-BFL:LP-DIR-T	g	3d	3d							
Henry1977	Nonesuch shale	SEC	290.4	-16.1	2	p	n	0	u	DE-BFL:LP-DIR-T	g	3d	3d							
Henry1977	Nonesuch shale	SEC	285.8	-16.4	2	p	n	100	u	DE-BFL:LP-DIR-T	g	3d	3d							
Henry1977	Freda sandstone	PRIM	279.1	-5.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS14	NS14							
Henry1977	Freda sandstone	PRIM	279	8.2	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS14	NS14							
Henry1977	Freda sandstone	PRIM	283.8	-5.4	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS15	NS15							
Henry1977	Freda sandstone	PRIM	283.7	8.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS15	NS15							
Henry1977	Freda sandstone	PRIM	291.8	-14.5	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS16	NS16							
Henry1977	Freda sandstone	PRIM	292.1	-0.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS16	NS16							
Henry1977	Freda sandstone	PRIM	236.8	-10.1	1	p	n	0	u	DE-BFL:LP-DIR-T	b	NS17	NS17							
Henry1977	Freda sandstone	PRIM	238.3	-3.4	1	p	n	100	u	DE-BFL:LP-DIR-T	b	NS17	NS17							
Henry1977	Freda sandstone	PRIM	285.6	-8.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS18	NS18							
Henry1977	Freda sandstone	PRIM	285.5	9	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS18	NS18							
Henry1977	Freda sandstone	PRIM	288.6	-5.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS19	NS19							
Henry1977	Freda sandstone	PRIM	288.3	11.6	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS19	NS19							
Henry1977	Freda sandstone	PRIM	272.6	-6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS20	NS20							
Henry1977	Freda sandstone	PRIM	272.3	9.1	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS20	NS20							
Henry1977	Nonesuch shale	PRIM	35.4	13.5	1	p	n	0	u	DE-BFL:LP-DIR-T	b	NS21	NS21							
Henry1977	Nonesuch shale	PRIM	40.5	11.3	1	p	n	100	u	DE-BFL:LP-DIR-T	b	NS21	NS21							
Henry1977	Nonesuch shale	PRIM	214.6	-15.3	1	p	n	0	u	DE-BFL:LP-DIR-T	b	NS23	NS23							
Henry1977	Nonesuch shale	PRIM	219.5	-13.6	1	p	n	100	u	DE-BFL:LP-DIR-T	b	NS23	NS23							
Henry1977	Nonesuch shale	PRIM	263.5	-22.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS24	NS24							
Henry1977	Nonesuch shale	PRIM	266.6	-7.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS24	NS24							
Henry1977	Nonesuch shale	PRIM	98.2	-25.8	1	p	n	0	u	DE-BFL:LP-DIR-T	b	NS25	NS25							
Henry1977	Nonesuch shale	PRIM	92.9	-42.9	1	p	n	100	u	DE-BFL:LP-DIR-T	b	NS25	NS25							
Henry1977	Nonesuch shale	PRIM	282.1	-19.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS26	NS26							
Henry1977	Nonesuch shale	PRIM	282.9	-0.7	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS26	NS26							
Henry1977	Nonesuch shale	PRIM	280.6	-14.9	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS27	NS27							
Henry1977	Nonesuch shale	PRIM	281.1	4.2	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS27	NS27							
Henry1977	Nonesuch shale	PRIM	302.3	-26.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS28	NS28							
Henry1977	Nonesuch shale	PRIM	301.6	-6.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS28	NS28							
Henry1977	Nonesuch shale	PRIM	256.1	11.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS29	NS29							
Henry1977	Nonesuch shale	PRIM	251.6	26.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS29	NS29							
Henry1977	Nonesuch shale	PRIM	262.5	16.1	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS29	NS29							
Henry1977	Nonesuch shale	PRIM	257.4	32.3	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS29	NS29							
Henry1977	Nonesuch shale	PRIM	293.9	33.8	1	p	n	0	u	DE-BFL:LP-DIR-T	b	NS30	NS30							
Henry1977	Nonesuch shale	PRIM	287.9	51.4	1	p	n	100	u	DE-BFL:LP-DIR-T	b	NS30	NS30							
Henry1977	Nonesuch shale	PRIM	285.9	0.6	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS31	NS31							
Henry1977	Nonesuch shale	PRIM	284.6	17.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS31	NS31							
Henry1977	Nonesuch shale	PRIM	283.3	-43.8	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS32	NS32							
Henry1977	Nonesuch shale	PRIM	288.9	-26.8	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS32	NS32							
Henry1977	Nonesuch shale	PRIM	289.2	-19	1	p	n	0	u	DE-BFL:LP-DIR-T	g	NS33	NS33							
Henry1977	Nonesuch shale	PRIM	290.4	-1.5	1	p	n	100	u	DE-BFL:LP-DIR-T	g	NS33	NS33							
>>>>>>>>>>																				
tab 	sites																			
age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	samples	site	specimens
1080	1070	Ma	7.4	PRIM	279.3	14	275	3	100	Nonesuch	Sedimentary	Sediment Layer	46.818	Shale	Big Iron River	270.43	LP-DIR-T	NS4:NS5:NS6	2	NS4:NS5:NS6
1080		Ma	4.9	PRIM	279.9	2.8	2558	2	100	Freda	Sedimentary	Sediment Layer	46.817	Sandstone	Big Iron River	270.43	LP-DIR-T	NS7:NS9	3	NS7:NS9
1080		Ma	2	PRIM	285.5	4.9	2065	4	100	Freda	Sedimentary	Sediment Layer	46.817	Sandstone	Big Iron River	270.429	LP-DIR-T	NS10:NS11:NS12:NS13	4	NS10:NS11:NS12:NS13
1080		Ma	12.6	PRIM	285	5.6	97	3	100	Freda	Sedimentary	Sediment Layer	46.815	Sandstone	Big Iron River	270.43	LP-DIR-T	NS14:NS15:NS16:NS17	5	NS14:NS15:NS16:NS17
1080		Ma	13.1	PRIM	282	10	90	3	100	Freda	Sedimentary	Sediment Layer	46.815	Sandstone	Big Iron River	270.431	LP-DIR-T	NS18:NS19:NS20	6	NS18:NS19:NS20
1080	1070	Ma		PRIM	266.6	-7.3		1	100	Nonesuch	Sedimentary	Sediment Layer	46.82	Shale	Big Iron River	270.428	LP-DIR-T	NS21:NS23:NS24:NS25	7	NS21:NS23:NS24:NS25
1080	1070	Ma	25.7	PRIM	276	11.7	10	5	100	Nonesuch	Sedimentary	Sediment Layer	46.82	Shale	Big Iron River	270.428	LP-DIR-T	NS26:NS27:NS28:NS29	8	NS26:NS27:NS28:NS29
1080	1070	Ma	35.3	PRIM	288	-3.6	13	3	100	Nonesuch	Sedimentary	Sediment Layer	46.82	Shale	Big Iron River	270.428	LP-DIR-T	NS30:NS31:NS32:NS33	9	NS30:NS31:NS32:NS33
1080	1070	Ma		PRIM	261.9	21.7		1	100	Nonesuch	Sedimentary	Sediment Layer	46.821	Shale	Big Iron River	270.427	LP-DIR-T	NS35	10	NS35
1080	1070	Ma	10.6	PRIM	280	-0.6	136	3	100	Nonesuch	Sedimentary	Sediment Layer	46.821	Shale	Big Iron River	270.427	LP-DIR-T	NS37:NS38	11	NS37:NS38
1080		Ma	7.5	PRIM	269.1	-3.8	270	3	100	Freda	Sedimentary	Sediment Layer	46.836	Sandstone	Lake Superior Shoreline	270.465	LP-DIR-T	F1:F2:F4	12	F1:F2:F4
1080		Ma	5.7	PRIM	263.1	-7.5	261	4	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	270.467	LP-DIR-T	13X:13Y:F16:F17	13	13X:13Y:F16:F17
1080		Ma	3.9	PRIM	267.2	-0.1	176	9	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	270.467	LP-DIR-T	14V:14X:14Y:F10:F5:F6:F7:F8:F9	14	14V:14X:14Y:F10:F5:F6:F7:F8:F9
1080		Ma	4.3	PRIM	261.7	-6.8	143	9	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	270.468	LP-DIR-T	15X:15Y:F18:F19:F20:F21:F22:F23:F24	15	15X:15Y:F18:F19:F20:F21:F22:F23:F24
1080		Ma	2.8	PRIM	281.2	8.8	569	7	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	270.471	LP-DIR-T	16X:16Z:F11:F12:F13:F14:F15	16	16X:16Z:F11:F12:F13:F14:F15
1080		Ma	5.1	PRIM	286.5	-8.9	319	4	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	270.474	LP-DIR-T	F25:F26:F27:F28	17	F25:F26:F27:F28
1080		Ma	8.1	PRIM	273.1	-2.3	90	6	100	Freda	Sedimentary	Sediment Layer	46.835	Sandstone	Lake Superior Shoreline	270.459	LP-DIR-T	18A:18B:18W:18X:18Y:18Z	18	18A:18B:18W:18X:18Y:18Z
1080		Ma	3.3	PRIM	288.7	-8.4	787	4	100	Freda	Sedimentary	Sediment Layer	46.836	Sandstone	Lake Superior Shoreline	270.448	LP-DIR-T	19A:19B:19C:19D	19	19A:19B:19C:19D
1080		Ma	10.3	PRIM	267.2	-2.2	80	4	100	Freda	Sedimentary	Sediment Layer	46.837	Sandstone	Lake Superior Shoreline	270.469	LP-DIR-T	20A:20B:20C:20D	20	20A:20B:20C:20D
1080		Ma	2.6	PRIM	264.2	-11.9	1244	4	100	Freda	Sedimentary	Sediment Layer	46.838	Sandstone	Lake Superior Shoreline	270.47	LP-DIR-T	21A:21B:21C:21D	21	21A:21B:21C:21D
