Site,Sample,Specimen a,Specimen b,Mass a (kg),Mass b (kg),Mass a (g),Mass b (g),Notes,,Total Missing,,0,11
PF18,88,Y,Y,0.011400,0.012770,11.4,12.77,,,,,,
PF18,89,Y,Y,0.012900,0.014040,12.9,14.04,,,,,,
PF18,90,Y,Y,0.013900,0.014100,13.9,14.1,,,,,,
PF18,91,Y,Y,0.013680,0.014900,13.68,14.9,,,,,,
PF18,92,Y,Y,0.012300,0.012810,12.3,12.81,,,,,,
PF18,93,Y,Y,0.013210,0.013610,13.21,13.61,,,,,,
PF18,94,Y,Y,0.012820,0.012920,12.82,12.92,,,,,,
PF18,95,Y,Y,0.010880,0.010390,10.88,10.39,,,,,,
PF18,96,Y,Y,0.010190,0.013480,10.19,13.48,,,,,,
PF18,97,Y,Y,0.012550,0.012730,12.55,12.73,,,,,,
PF18,98,Y,Y,0.013130,0.013200,13.13,13.2,,,,,,
PF18,99,Y,Y,0.013880,0.014100,13.88,14.1,,,,,,
PF18,100,Y,Y,0.013490,0.013710,13.49,13.71,,,,,,
PF18,101,Y,Y,0.012030,0.013700,12.03,13.7,,,,,,
PF18,102,Y,Y,0.012000,0.010930,12,10.93,,,,,,
PF18,103,Y,Y,0.013900,0.011990,13.9,11.99,,,,,,
PF18,104,Y,Y,0.013270,0.011620,13.27,11.62,,,,,,
PF18,105,Y,Y,0.009770,0.009540,9.77,9.54,,,,,,
PF18,106,Y,Y,0.014110,0.014520,14.11,14.52,,,,,,
PF18,107,Y,Y,0.012310,0.013200,12.31,13.2,,,,,,
PF18,108,Y,Y,0.010580,0.010460,10.58,10.46,,,,,,
PF18,109,Y,Y,0.013190,0.010150,13.19,10.15,,,,,,
PF18,110,Y,Y,0.012490,0.012710,12.49,12.71,,,,,,
PF18,111,Y,Y,0.009660,0.010110,9.66,10.11,,,,,,
PF18,112,Y,N,0.013570,N/A,13.57,N/A,,,,,,
PF18,113,Y,Y,0.010060,0.011990,10.06,11.99,,,,,,
PF18,114,Y,Y,0.012750,0.013500,12.75,13.5,,,,,,
PF18,115,Y,Y,0.014710,0.011680,14.71,11.68,,,,,,
PF18,116,Y,Y,0.013250,0.012520,13.25,12.52,,,,,,
PF18,117,Y,Y,0.013050,0.010320,13.05,10.32,,,,,,
PF18,118,Y,Y,0.012970,0.009780,12.97,9.78,,,,,,
PF18,119,Y,Y,0.013260,0.010840,13.26,10.84,,,,,,
PF18,120,Y,Y,0.013070,0.012390,13.07,12.39,,,,,,
PF18,121,Y,Y,0.011640,0.014120,11.64,14.12,,,,,,
PF18,122,Y,Y,0.014000,0.014050,14,14.05,,,,,,
PF18,123,Y,Y,0.012820,0.010920,12.82,10.92,,,,,,
PF18,124,Y,Y,0.012600,0.012940,12.6,12.94,,,,,,
PF18,125,Y,Y,0.011550,0.009880,11.55,9.88,,,,,,
PF18,126,Y,Y,0.012140,0.014220,12.14,14.22,,,,,,
PF18,127,Y,Y,0.013520,0.012720,13.52,12.72,,,,,,
PF18,128,Y,Y,0.012960,0.013120,12.96,13.12,,,,,,
PF18,129,Y,Y,0.012620,0.011140,12.62,11.14,,,,,,
PF18,130,Y,Y,0.013260,0.013300,13.26,13.3,,,,,,
PF18,131,Y,Y,0.013250,0.013620,13.25,13.62,,,,,,
PF18,132,Y,Y,0.013370,0.013200,13.37,13.2,,,,,,
PF18,133,Y,Y,0.012420,0.012060,12.42,12.06,,,,,,
PF18,134,Y,N,0.011510,N/A,11.51,N/A,,,,,,
PF18,135,Y,Y,0.012420,0.006450,12.42,6.45,,,,,,
PF18,136,Y,Y,0.014060,0.011590,14.06,11.59,,,,,,
PF18,137,Y,Y,0.013220,0.013070,13.22,13.07,,,,,,
PF18,138,Y,Y,0.013390,0.014771,13.39,14.7707,,,,,,
PF18,139,Y,Y,0.012650,0.012260,12.65,12.26,,,,,,
PF18,140,Y,Y,0.012800,0.013303,12.8,13.3025,,,,,,
PF18,141,Y,Y,0.008850,0.008450,8.85,8.45,,,,,,
PF18,142,Y,N,0.011140,N/A,11.14,N/A,,,,,,
PF18,143,Y,Y,0.011290,0.012150,11.29,12.15,,,,,,
PF18,144,Y,Y,0.013830,0.013193,13.83,13.1931,,,,,,
PF18,145,Y,Y,0.013080,0.010510,13.08,10.51,,,,,,
PF18,146,Y,Y,0.010310,0.013078,10.31,13.0777,,,,,,
PF18,147,Y,Y,0.013070,0.013333,13.07,13.3325,,,,,,
PF18,148,Y,Y,0.006560,0.007990,6.56,7.99,,,,,,
PF18,149,Y,Y,0.012060,0.012490,12.06,12.49,,,,,,
PF18,150,Y,Y,0.012260,0.011950,12.26,11.95,,,,,,
PF18,151,Y,Y,0.013300,0.013327,13.3,13.327,,,,,,
PF18,152,Y,Y,0.011770,0.014090,11.77,14.09,,,,,,
PF18,153,Y,Y,0.012990,0.012739,12.99,12.7387,,,,,,
PF18,154,Y,Y,0.013720,0.012970,13.72,12.97,,,,,,
PF18,155,Y,Y,0.014450,0.014200,14.45,14.2,,,,,,
PF18,156,Y,Y,0.013740,0.008606,13.74,8.6062,,,,,,
PF18,157,Y,Y,0.013370,0.013344,13.37,13.3436,,,,,,
PF18,158,Y,Y,0.012880,0.012890,12.88,12.89,,,,,,
PF18,159,Y,Y,0.013300,N/A,13.3,N/A,,,,,,
PF18,160,Y,Y,0.010050,0.012900,10.05,12.9,,,,,,
PF18,161,Y,Y,0.012610,0.012640,12.61,12.64,,,,,,
PF18,162,Y,Y,0.009910,0.005300,9.91,5.3,,,,,,
PF18,163,Y,Y,0.008040,0.008240,8.04,8.24,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
