section,WAYPOINT:Latitude,WAYPOINT:Longitude,core_outcrop
PRF18,46.461256,-90.529751,outcrop
DG18,46.376486,-90.640797,outcrop
PC1,46.6782,-89.9742,core
PIR18,46.667167,-89.939156,outcrop
WPB-4,46.649419,-89.754047,core
DO-8,46.41520749,-91.59597308,core
WC-9,46.41602026,-91.29958333,core
